Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway,Media_Ptos_H,Media_Ptos_A,CV_Ptos_H,CV_Ptos_A,Media_GM_H,Media_GM_A,CV_GM_H,CV_GM_A,Media_GS_H,Media_GS_A,CV_GS_H,CV_GS_A,Media_SG_H,Media_SG_A,CV_SG_H,CV_SG_A,Media_SG_H_01,Media_SG_A_01,CV_SG_H_01,CV_SG_A_01,Media_SG_H_02,Media_SG_A_02,CV_SG_H_02,CV_SG_A_02,Media_VG_H,Media_VG_A,CV_VG_H,CV_VG_A,Media_CG_H_00,Media_CG_A_00,CV_CG_H_00,CV_CG_A_00,Media_CG_H_01,Media_CG_A_01,CV_CG_H_01,CV_CG_A_01,Media_CG_H_02,Media_CG_A_02,CV_CG_H_02,CV_CG_A_02
riv8DCHi,ARGENTINA 1,ROUND 12,2024-08-27,00:00,Estudiantes L.P.,Boca Juniors,3.4,1.83,4.33,1.67,2.1,4.33,1.2,15.0,1.03,2.5,2.75,3.4,1.14,5.5,1.62,2.2,3.1,1.36,6.5,1.11,17.0,1.03,2.38,1.53,1.3,1.4,1.5,5.0,7.0,15.0,41.0,5.5,5.5,15.0,41.0,10.0,11.0,21.0,51.0,26.0,29.0,41.0,81.0,501.0,0,0,1,1,[80],[52],0,0,0.4,0.36363636363636365,0.29411764705882354,0.16112554756955322,0.9090909090909091,0.7352941176470589,1.1,0.8088235294117647,1.3599999999999999,1.2363636363636363,0.8999999999999999,0.25,0.6499999999999999,24.22774531795417,7.125016348901798,18.00416160591338,0.2647058823529412,0.09090909090909091,0.19117647058823528,1.0,1.8,1.2247448713915887,0.6085806194501842,1.2,1.0,1.3693063937629153,0.7071067811865478,1.2,0.4,0.6972166887783962,1.3693063937629124,0.0,0.6,1.0,1.4907119849998625,0.10400000000000009,3.4539999999999997,35.544527870524014,1.8347303616992305,-1.1400000000000001,1.0900000000000012,-7.688485152464927,1.3729933287962734,0.2586513629842181,0.5177609516130917,1.5836742958796937,1.015251313866554,0.685534472648069,0.42434200672219324,0.5285008732074135,0.8274608854234996,2.222,4.734000000000001,1.4962030284404009,1.2057922239495216,0.8778282119337906,0.6484320831354722,0.9350099948149752,0.508447181103572
YL4gMzHb,BRAZIL 1,ROUND 24,2024-08-27,00:00,Vasco,Athletico-PR,2.88,2.05,4.0,1.44,2.63,3.25,1.33,9.0,1.07,2.15,3.25,3.5,1.07,9.0,1.36,3.2,2.1,1.7,4.0,1.25,8.0,1.08,1.91,1.91,1.29,1.33,1.67,8.5,9.5,17.0,41.0,7.0,6.0,12.0,29.0,10.0,9.0,15.0,41.0,19.0,19.0,29.0,51.0,301.0,0,1,2,1,"[68, 86]",[24],0.59,0.65,0.46511627906976744,0.3076923076923077,0.2857142857142857,0.24209507220691287,0.6615384615384615,0.6142857142857142,1.5116279069767442,0.9285714285714286,1.627906976744186,1.0769230769230769,1.35,1.1,0.25,34.01934998982646,28.810793742973065,7.125016348901798,0.38571428571428573,0.3384615384615385,0.07142857142857142,2.2,2.0,0.4979295977319691,0.7071067811865477,1.8,1.4,0.24845199749997646,0.6388765649999398,0.6,1.0,1.4907119849998598,0.7071067811865474,1.2,0.4,0.912870929175277,2.2360679774997934,2.9120000000000004,1.3359999999999999,0.9169483357269735,2.617538621534608,3.8,0.9280000000000005,0.9206766149755727,2.0231003047779472,0.5728274340039047,0.6738719161691538,0.19812251399367184,0.6709107594317315,0.2430769536562148,0.3366922018192227,0.23344113009068782,1.1254647958562911,4.275999999999999,5.492,0.20551792072572134,0.6952930558666455,1.1097436203228814,0.830198695325716,0.2244165479745634,0.5395924809120893
vZNRmYfr,BRAZIL 2,ROUND 23,2024-08-27,00:00,Ceara,Novorizontino,2.75,1.95,5.0,1.57,2.25,3.75,1.25,13.0,1.04,1.91,3.25,4.2,1.1,7.0,1.5,2.5,2.6,1.48,5.5,1.14,13.0,1.04,2.25,1.57,1.22,1.33,1.83,6.5,8.5,21.0,51.0,5.5,6.5,15.0,41.0,7.5,9.5,21.0,51.0,15.0,21.0,41.0,81.0,1000.0,0,0,1,0,[88],[],0,0,0.5235602094240838,0.3076923076923077,0.23809523809523808,0.36875692975358265,0.5876923076923076,0.4547619047619047,1.7015706806282722,0.7738095238095237,2.198952879581152,1.2923076923076924,2.29,1.34,0.9500000000000002,48.86725778267337,33.82208521749396,25.407718108948476,0.5452380952380952,0.4123076923076923,0.22619047619047622,1.8,2.6,0.9128709291752769,0.3440104580768909,2.4,1.4,0.756912588524373,0.8144110179279558,1.4,0.4,0.391230398217976,1.3693063937629135,1.0,1.0,1.8708286933869709,0.7071067811865477,1.2200000000000002,4.366,2.512405394310157,0.6547686654337399,8.52,1.9999999999999993,1.3467101575184695,0.7443537465479723,0.35666666666666663,0.7044946044946043,0.6591662284701675,0.7906307867306915,0.41317748768927637,0.3273004875545291,0.8591475397604101,1.1674626728178512,3.6060000000000003,6.166,0.6971374051837504,0.7815863370404019,1.5016351807802217,0.816983577110598,0.6428696971790913,0.6933145285081918
2yeSfR5l,ECUADOR 1,SECOND STAGE ,2024-08-27,00:00,Imbabura,Orense,3.25,2.05,3.5,1.5,2.5,3.4,1.3,10.0,1.06,2.55,3.0,2.75,1.07,9.0,1.36,3.0,2.2,1.65,4.0,1.22,9.0,1.07,1.83,1.83,1.4,1.36,1.5,8.0,8.0,13.0,29.0,7.5,6.0,11.0,23.0,12.0,10.0,15.0,34.0,26.0,23.0,34.0,51.0,301.0,0,1,0,1,[],[11],0,0,0.3921568627450981,0.3333333333333333,0.36363636363636365,0.08149246541246197,0.85,0.9272727272727272,1.1764705882352942,1.0909090909090908,1.0784313725490198,0.9166666666666666,0.20000000000000018,0.4500000000000002,0.25,5.710593137499648,12.680383491819825,-7.125016348901798,0.0727272727272728,0.15000000000000005,0.09090909090909091,0.6,1.4,2.2360679774997894,1.083267920578793,1.6,0.8,0.9478594305064437,1.045825033167594,2.2,0.8,0.3803000120609435,0.5590169943749476,-0.6,0.0,-2.5276251480171847,1.0,-3.0100000000000002,-2.8040000000000007,-1.516930570113065,-3.0242022847517247,-0.7400000000000001,0.28200000000000014,-5.366711167084837,6.96794524610148,0.617502071055309,0.363901083695079,0.771737282183208,1.176116197229544,0.3825431848158118,0.5596015991177282,0.9255942113197684,0.734236020159567,4.08,2.756,0.7683344654683958,1.1583603310170865,0.9611477718600089,0.5248194547942375,0.8464104903033968,0.8547364599573415
dEdJSOUp,COLOMBIA 1,CLAUSURA ,2024-08-27,01:00,Fortaleza,Ind. Medellin,3.25,1.95,3.75,1.53,2.38,3.75,1.25,11.0,1.05,2.6,2.8,3.1,1.1,7.0,1.44,2.63,2.4,1.53,4.5,1.18,11.0,1.05,2.0,1.73,1.36,1.4,1.5,6.5,8.0,15.0,34.0,7.0,5.5,12.0,29.0,11.0,11.0,15.0,41.0,26.0,23.0,41.0,51.0,351.0,2,0,2,2,"[27, 30]","[75, 86]",0,0,0.3846153846153846,0.35714285714285715,0.3225806451612903,0.08882158159142058,0.9285714285714287,0.8387096774193549,1.0769230769230769,0.9032258064516128,1.1923076923076923,1.1071428571428572,0.5,0.19999999999999973,0.30000000000000027,14.036243467926479,5.710593137499635,8.53076560994814,0.16129032258064516,0.07142857142857134,0.09677419354838718,3.0,1.6,0.0,0.8385254915624213,1.2,1.4,0.3726779962499639,0.8144110179279562,0.2,1.4,2.2360679774997827,0.6388765649999406,1.0,0.0,0.0,1.0,2.0260000000000002,-0.20999999999999996,0.13279136903611652,-13.621877827801741,4.390000000000001,0.370000000000001,0.18354453538163365,11.845579351919184,0.27195509097948123,0.4733893557422969,0.25586782634275335,0.8739987493938932,0.4428276227974644,0.44405088200154613,0.22515240566138964,0.8058045730202309,2.372,3.55,0.2715610629433075,0.8150781011960718,0.8503155455027785,0.9077841028884672,0.28993586080366635,0.6285333851775582
Eku5mOzS,PERU 1,CLAUSURA ,2024-08-27,01:00,Carlos Mannucci,Grau,3.75,2.05,3.1,1.5,2.5,3.4,1.3,10.0,1.06,3.0,3.0,2.35,1.08,8.0,1.36,3.0,2.25,1.62,4.0,1.22,9.0,1.07,1.83,1.83,1.57,1.36,1.36,8.0,7.5,11.0,23.0,8.5,6.0,10.0,21.0,15.0,12.0,15.0,34.0,34.0,26.0,41.0,51.0,301.0,1,0,1,1,[7],[84],0,0,0.3333333333333333,0.3333333333333333,0.425531914893617,0.1348303023856012,1.0,1.276595744680851,1.0,1.276595744680851,0.7833333333333333,0.7833333333333333,0.6499999999999999,0.0,0.6499999999999999,-18.00416160591338,0.0,-18.00416160591338,0.276595744680851,0.0,0.276595744680851,1.2,1.0,0.912870929175277,1.224744871391589,1.0,0.6,1.2247448713915892,1.4907119849998585,1.0,0.8,0.9999999999999998,1.045825033167594,0.0,-0.2,1.0,-4.183300132670374,0.24000000000000005,-0.07999999999999945,7.781745019952489,-54.610839125580554,-0.2600000000000001,-0.5100000000000001,-8.407167975768132,-2.9675290013245674,0.37548262548262545,0.3619047619047619,1.3697964611872036,1.6050474402080952,0.6008333333333333,0.6683397683397685,0.6530590904203157,0.6876046635072015,2.82,3.5400000000000005,1.403377474738278,1.712665994199151,0.700304054054054,0.42584892584892586,0.8544489979039169,0.9885921251774135
WbBrfc8U,SAUDI ARABIA 1,ROUND 2,2024-08-27,12:45,Al Fateh,Al Ahli SC,5.5,2.5,1.91,1.25,3.75,2.2,1.62,4.5,1.17,6.25,4.75,1.45,1.03,10.5,1.14,5.0,1.5,2.5,2.2,1.62,3.75,1.25,1.67,2.1,2.63,1.17,1.11,17.0,10.0,8.5,11.0,21.0,9.5,9.0,11.0,34.0,19.0,15.0,21.0,67.0,41.0,41.0,41.0,151.0,0,0,1,0,[55],[],0,0,0.16,0.21052631578947367,0.6896551724137931,0.5917122485690928,1.3157894736842106,4.310344827586207,0.76,3.2758620689655173,0.23199999999999998,0.30526315789473685,4.8,1.5,3.3,-67.38013505195958,-36.86989764584402,-58.781597235653635,3.310344827586207,0.3157894736842105,2.2758620689655173,2.0,1.2,0.7071067811865478,0.9128709291752768,2.0,1.2,0.3535533905932736,0.6972166887783958,1.6,1.2,0.947859430506444,0.6972166887783964,0.4,0.0,3.791437722025777,1.0,0.10800000000000046,0.15999999999999998,46.514596437632534,7.636773697053012,1.9300000000000004,-0.8239999999999992,2.0679677570127004,-4.4548721158812645,0.704496996996997,0.37552754435107377,0.4308468363034519,0.9817850497611523,0.24015337842454051,0.5705128205128205,0.39761540551131414,0.6180442314587615,4.885999999999999,2.52,0.47814818031651574,0.9133020777985561,1.227001776320284,0.8840659340659341,0.3240066374807768,0.42799352235633203
h6Nc8ic6,BULGARIA 2,ROUND 6,2024-08-27,13:00,Pirin Blagoevgrad,Etar,2.35,1.93,5.3,1.5,2.15,0.0,0.0,0.0,0.0,1.7,3.2,4.75,0.0,0.0,1.5,2.25,2.32,1.47,0.0,0.0,0.0,0.0,0.0,0.0,1.16,1.28,2.07,6.3,7.8,19.0,65.0,4.15,5.8,14.5,50.0,5.5,7.7,19.0,65.0,10.25,14.0,35.0,120.0,600.0,2,0,4,1,"[18, 22, 88, 90]",[90],0,0,0.5882352941176471,0.3125,0.21052631578947367,0.4741144988024631,0.53125,0.35789473684210527,1.8823529411764708,0.6736842105263158,2.794117647058824,1.484375,3.05,1.5000000000000002,1.5499999999999998,56.74563342528795,36.86989764584403,37.77568430595466,0.6421052631578947,0.46875000000000006,0.32631578947368417,1.2,1.4,0.9128709291752768,1.083267920578793,1.2,1.2,0.6972166887783964,0.6972166887783964,1.0,1.6,0.9999999999999998,0.7126096406869611,0.2,-0.4,5.477225575051657,-3.7914377220257736,0.05799999999999859,-2.5460000000000003,29.230723497633004,-2.360826338117223,3.34,-0.3439999999999997,2.821020302159669,-8.937750438990838,0.18292490118577084,0.6622740501921945,0.6504877548829969,0.8237354397893807,0.5670838396449875,0.38322535766457205,0.47055832352071136,0.9922407354427757,1.8359999999999999,5.674,0.6166794532539246,1.0158111288958769,0.9069037539731631,0.7420700483958761,0.5276544483644463,0.5519528379967861
Ik0bGIsJ,SAUDI ARABIA 2,ROUND 2,2024-08-27,13:10,Al Arabi,Abha,2.15,2.25,4.7,0.0,0.0,2.45,1.42,0.0,0.0,1.62,3.95,4.55,0.0,0.0,1.23,3.35,1.7,1.93,2.62,1.37,0.0,0.0,1.72,1.88,1.18,1.21,2.22,12.0,13.5,27.0,75.0,7.5,7.7,15.0,40.0,7.9,8.25,16.0,45.0,12.0,12.5,25.0,70.0,500.0,0,0,1,2,[90],"[60, 90]",0,0,0.6172839506172839,0.2531645569620253,0.21978021978021978,0.45882905965631227,0.41012658227848103,0.35604395604395606,2.4382716049382718,0.8681318681318682,2.8086419753086416,1.1518987341772151,2.9299999999999997,2.33,0.5999999999999996,55.68279496109193,49.358227947732274,16.699244233993614,0.6439560439560439,0.589873417721519,0.1318681318681318,2.6,0.2,0.3440104580768907,2.2360679774997854,3.2,0.6,0.5134898976610932,0.9128709291752761,1.2,3.4,0.6972166887783963,0.534291238958381,2.0,-2.8,1.1726039399558574,-0.7742672638813861,3.0560000000000005,-18.64,0.9412333834566033,-0.9989034124523087,23.419999999999998,-4.249999999999999,1.8779800124324981,-0.7186954733341537,0.5884470667699704,0.33952934574052585,0.6685680280138211,1.051403772857562,0.23021374338442452,0.5704806687565307,0.430288140575676,0.7193015305515509,5.119999999999999,3.2600000000000002,0.4545098550900999,1.3891337224244429,1.9240939901633758,0.4257165248544559,0.4576379160808568,0.7108734545754392
4KmdZaBc,SPAIN 1,ROUND 3,2024-08-27,14:00,Mallorca,Sevilla,3.0,2.05,4.0,1.5,2.5,3.4,1.3,10.0,1.06,2.25,3.25,3.3,1.08,8.0,1.4,3.0,2.3,1.62,4.33,1.22,9.0,1.07,1.95,1.8,1.33,1.33,1.62,8.0,8.5,15.0,34.0,7.0,6.0,12.0,29.0,10.0,9.5,17.0,41.0,21.0,21.0,34.0,51.0,351.0,0,0,0,0,[],[],1.38,1.00,0.4444444444444444,0.3076923076923077,0.30303030303030304,0.20192449595360068,0.6923076923076923,0.6818181818181819,1.4444444444444444,0.9848484848484849,1.4666666666666666,1.0153846153846153,1.0499999999999998,1.0,0.04999999999999982,27.699472808054992,26.56505117707799,1.4320961841646414,0.3181818181818181,0.3076923076923077,0.015151515151515098,1.0,1.2,1.224744871391589,0.9128709291752768,0.8,1.4,1.0458250331675945,0.6388765649999398,1.0,1.2,0.7071067811865481,1.0865337342004415,-0.2,0.2,-4.183300132670379,5.477225575051664,-1.426,0.35199999999999887,-1.9685220163585413,8.904571122752941,0.5099999999999998,0.6900000000000002,6.852373114552213,4.007318446818956,0.2157316367842684,0.6148511402592092,1.3623102212259708,0.6297431357869065,0.6225872249060654,0.3523085279739272,0.6179270831526136,1.0335252364352547,2.376,4.371999999999999,1.301742570959739,0.6100625071672614,0.5941921631776703,0.8439751946405938,0.8798912312160342,0.5767109533532038
