Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway,Media_Ptos_H,CV_Ptos_H,Media_GM_H,CV_GM_H,Media_GS_H,CV_GS_H,Media_SG_H,CV_SG_H,Media_SG_H_01,CV_SG_H_01,Media_SG_H_02,CV_SG_H_02,Media_VG_H,CV_VG_H,Media_CG_H_00,CV_CG_H_00,Media_CG_H_01,CV_CG_H_01,Media_CG_H_02,CV_CG_H_02,Media_Ptos_A,CV_Ptos_A,Media_GM_A,CV_GM_A,Media_GS_A,CV_GS_A,Media_SG_A,CV_SG_A,Media_SG_A_01,CV_SG_A_01,Media_SG_A_02,CV_SG_A_02,Media_VG_A,CV_VG_A,Media_CG_A_00,CV_CG_A_00,Media_CG_A_01,CV_CG_A_01,Media_CG_A_02,CV_CG_A_02
6ZKoTxRQ,EUROPA CHAMPIONS LEAGUE,QUALIFICATION,2025-07-29,12:00,Kairat Almaty (Kaz),KuPS (Fin),1.91,2.3,6.5,1.33,3.05,2.55,1.45,5.98,1.1,1.42,4.33,7.0,1.03,9.28,1.23,3.75,1.76,1.95,2.9,1.36,5.13,1.13,2.0,1.73,1.08,1.2,2.75,12.0,17.0,34.0,67.0,7.0,8.5,21.0,51.0,6.0,9.0,21.0,51.0,10.0,12.0,29.0,51.0,1000.0,0.7042253521126761,0.23094688221709006,0.14285714285714285,0.656672960584361,0.3279445727482679,0.20285714285714285,3.0492957746478875,0.6185714285714285,4.929577464788733,1.6166281755196306,5.58,2.91,2.67,70.28115579337907,55.499834039622556,53.16445233775824,0.7971428571428572,0.6720554272517322,0.3814285714285714,2.6,0.3440104580768907,2.2,0.6741998624632419,0.6,0.9128709291752768,1.6,0.7126096406869611,2.8699999999999997,0.6476338778906406,15.709999999999999,1.2327032952659986,0.4282083534913723,0.8794509015424927,0.36785556374355194,0.9698270940443859,4.032,0.6339569043771491,1.40792147711455,0.5654770308032672,1.0,1.224744871391589,0.6,2.23606797749979,1.6,1.2960275845829823,-1.0,-2.345207879911715,-10.22,-1.7761168786280113,-1.1540000000000004,-2.7703329159211325,0.30769230769230776,2.23606797749979,0.8170940170940171,0.5005424133733839,2.34,2.23606797749979,0.38759207261329504,1.7938719957146403
6VUZBviS,EUROPA CONFERENCE LEAGUE,QUALIFICATION,2025-07-29,13:00,Iberia 1999 (Geo),Levadia (Est),2.2,2.25,4.75,1.34,3.0,2.57,1.44,6.14,1.09,1.6,3.75,5.0,1.03,9.37,1.24,3.67,1.78,1.92,2.9,1.36,5.3,1.12,1.83,1.83,1.14,1.25,2.25,11.0,15.0,26.0,51.0,7.0,7.5,17.0,41.0,8.5,8.0,17.0,41.0,13.0,15.0,23.0,51.0,500.0,0.625,0.26666666666666666,0.2,0.4984748846933287,0.4266666666666667,0.32,2.34375,0.75,3.125,1.3333333333333333,3.4,2.15,1.25,59.53445508054013,47.0700306530411,32.005383208083494,0.6799999999999999,0.5733333333333334,0.25,1.2,1.3693063937629155,0.6,1.4907119849998598,0.8,1.0458250331675945,-0.2,-8.215838362577491,-0.898,-6.0112509695204395,-0.7919999999999998,-5.777404441123951,0.2624338624338624,1.3881747499203179,0.6864612511671335,0.6254570970379787,1.8519999999999999,1.3702056874075894,0.47286447799009945,0.9678237847607212,1.0,1.224744871391589,1.2,0.6972166887783964,1.8,1.1385500851066221,-0.6,-3.651483716701107,-5.606,-2.2984472467821595,-0.038000000000000075,-115.70277854912933,0.5738299893429767,0.6092121655161326,0.3535304974379524,1.0285834170850183,4.366,0.6206285354639444,0.7518643806448149,0.5867667713835305
4QzRgUgU,EUROPA CHAMPIONS LEAGUE,QUALIFICATION,2025-07-29,15:00,Drita (Kos),FC Copenhagen (Den),7.0,2.38,1.83,1.33,3.05,2.57,1.44,5.94,1.1,6.5,4.33,1.42,1.02,10.0,1.24,3.63,1.77,1.93,2.9,1.36,5.15,1.13,2.1,1.67,2.75,1.2,1.1,12.0,7.0,6.5,9.0,17.0,9.0,9.0,13.0,34.0,21.0,21.0,29.0,81.0,51.0,51.0,67.0,1250.0,0.15384615384615385,0.23094688221709006,0.7042253521126761,0.6242368435281537,1.5011547344110854,4.577464788732395,0.6661538461538462,3.0492957746478875,0.21846153846153846,0.3279445727482679,5.08,2.17,2.91,-68.510401201401,-47.33450643666486,-55.499834039622556,3.5774647887323945,0.5011547344110854,2.0492957746478875,1.2,1.3693063937629155,1.0,1.224744871391589,1.2,0.6972166887783962,-0.2,-8.215838362577491,-4.26,-1.9570940751036456,0.7800000000000002,5.376588950649584,0.37451376947175263,0.9900154979180201,0.547402015432706,0.7723589844774147,2.83,1.0263025660764893,0.6396537477867401,1.0722591422624528,2.6,0.3440104580768907,1.8,0.8240220541217403,0.8,1.629800601300662,1.0,0.7071067811865474,2.202,0.6189412599057826,3.46,0.963473021568214,0.6391621393604273,1.0375523334315448,0.4108491870241601,0.8659851806483382,4.5520000000000005,1.0736333799381599,1.1132777060857437,0.6643674380311156
IkxyL6hT,EUROPA CHAMPIONS LEAGUE,QUALIFICATION,2025-07-29,15:00,Dyn. Kyiv (Ukr),Hamrun (Mlt),1.5,2.88,11.0,1.23,3.71,2.07,1.67,4.41,1.17,1.17,7.0,11.0,1.01,15.57,1.13,5.08,1.46,2.53,2.12,1.64,3.52,1.26,2.25,1.57,1.02,1.08,4.5,19.0,26.0,51.0,151.0,8.5,15.0,34.0,81.0,6.5,11.0,29.0,67.0,7.0,12.0,34.0,81.0,1250.0,0.8547008547008548,0.14285714285714285,0.09090909090909091,0.7736007212228913,0.16714285714285712,0.10636363636363635,5.982905982905983,0.6363636363636364,9.401709401709402,1.5714285714285714,9.83,5.83,4.0,78.4996423714614,71.06530589678796,63.43494882292201,0.8936363636363637,0.8328571428571429,0.36363636363636365,1.4,1.083267920578793,2.4,0.9592387027684448,1.8,0.46481112585226425,0.6,4.013864859597432,-1.2799999999999998,-5.480567588649008,5.406000000000001,2.082330989064082,0.6219240837696335,0.7291978033539117,0.3815794274959429,0.9836841715364777,4.76,0.7699801950319716,1.4151225765563333,0.8774810979931681,1.0,1.2247448713915892,0.8,0.559016994374947,1.0,1.0,-0.2,-4.183300132670378,-4.6,-2.0715007390559292,-0.16799999999999998,-6.553352468121079,0.5399547255234862,0.6896452567295536,0.3487212276214834,1.1282416792107512,7.459999999999999,0.938414397486557,0.49658283603296394,0.45918732349376395
tEnFABJi,ICELAND 2,ROUND 15,2025-07-29,15:00,Thor Akureyri,Grindavik,2.02,2.55,4.25,1.18,4.16,1.91,1.78,3.55,1.24,1.57,4.35,4.4,1.01,21.0,1.08,7.5,1.32,3.0,1.85,1.83,2.88,1.35,1.4,2.52,1.18,1.19,2.32,23.0,22.0,35.0,70.0,12.0,9.5,14.5,30.0,10.75,8.25,11.75,25.0,13.5,10.5,15.0,30.0,120.0,0.6369426751592356,0.2298850574712644,0.22727272727272727,0.4708315285593773,0.3609195402298851,0.3568181818181818,2.7707006369426748,0.9886363636363634,2.802547770700637,1.0114942528735633,2.83,2.7799999999999994,0.05000000000000071,54.75062460294227,54.26783626282111,1.4320961841646667,0.6431818181818182,0.6390804597701149,0.011363636363636524,1.4,1.083267920578793,1.4,0.3912303982179754,1.2,1.0865337342004415,0.2,8.944271909999157,0.13400000000000017,19.278706467404874,2.900000000000001,3.6988284291001023,0.2847647177236002,0.21319178547382697,0.4899005853167859,0.26550897202901313,2.158,0.25842987538793605,1.0189212501865073,0.31646232343672165,2.0,0.7071067811865477,3.0,0.7071067811865476,2.6,0.749753411139151,0.4,8.403868156985805,-1.216000000000001,-13.320877921820044,1.31,4.298462369556992,1.6261686898924963,0.6298258265649452,0.13211472239256566,0.6179022629567182,10.512,0.6059877145682075,1.6367446577668758,0.6635207641068276
zaU3N9aU,EUROPA CONFERENCE LEAGUE,QUALIFICATION,2025-07-29,15:30,Inter Escaldes (And),O. Ljubljana (Slo),3.75,2.2,2.5,1.35,2.95,2.6,1.43,6.16,1.09,3.5,3.4,1.95,1.03,9.29,1.25,3.55,1.81,1.89,3.0,1.34,5.44,1.12,1.73,2.0,1.8,1.3,1.29,11.0,8.5,10.0,17.0,12.0,7.0,9.0,15.0,17.0,13.0,13.0,26.0,41.0,26.0,34.0,41.0,151.0,0.2857142857142857,0.29411764705882354,0.5128205128205129,0.2940568063202961,1.0294117647058825,1.794871794871795,0.9714285714285714,1.7435897435897436,0.5571428571428572,0.5735294117647058,1.55,0.10000000000000009,1.45,-37.77568430595466,-2.86240522611175,-35.94211187138234,0.7948717948717949,0.02941176470588238,0.7435897435897436,2.0,0.7071067811865476,2.0,0.9354143466934853,1.6,0.8385254915624211,0.4,7.202430145443966,-2.71,-6.233683648963173,1.7360000000000002,3.033572793747473,0.9778244631185808,0.7911181222525981,0.308671679197995,1.2626153568634622,6.9,0.757237708847138,1.1259335839598996,0.8704231863493908,1.6,0.8385254915624211,1.0,0.7071067811865475,0.8,0.5590169943749473,0.2,4.183300132670378,-0.7500000000000006,-6.403124237432846,0.842,2.1938795720570825,0.472524154589372,0.6992354194325654,0.4103174603174603,0.8462586344361871,3.5,0.690681414493347,0.6329365079365079,0.6258689579426268
MRxCUHXR,EUROPA CHAMPIONS LEAGUE,QUALIFICATION,2025-07-29,16:00,Crvena zvezda (Srb),Lincoln Red Imps (Gib),1.29,3.75,19.0,1.15,4.78,1.75,1.96,3.28,1.29,1.06,12.0,23.0,1.01,22.0,1.07,6.82,1.29,3.29,1.77,1.93,2.65,1.42,3.0,1.36,0.0,0.0,0.0,23.0,41.0,126.0,151.0,11.0,23.0,51.0,151.0,6.5,15.0,41.0,151.0,6.0,15.0,41.0,151.0,251.0,0.9433962264150942,0.08333333333333333,0.043478260869565216,0.9126467282568137,0.08833333333333333,0.04608695652173913,11.320754716981131,0.5217391304347826,21.69811320754717,1.9166666666666667,21.94,10.94,11.0,84.79144375314661,79.6398576376604,79.69515353123397,0.9539130434782609,0.9116666666666666,0.4782608695652174,2.2,0.4979295977319691,2.8,0.5868455973269638,0.6,1.4907119849998598,2.2,1.0365231137264888,3.124,0.9456239799459216,27.5,1.622364359723943,0.39798342008868326,0.5749248655844452,0.3377933749257279,0.7543810713019131,4.0200000000000005,0.4781816668301007,1.7468935680332738,0.49272731363271594,0.6,2.23606797749979,0.4,1.3693063937629157,2.4,0.7569125885243729,-2.0,-1.0606601717798214,-21.1,-1.246769820671429,-2.5460000000000003,-1.0822574122429363,0.23952095808383236,1.3693063937629142,0.6808080808080808,0.6423321443754908,2.0,1.3806701271484072,0.2738539238539238,1.0926414070157378
2BaO1GFd,EUROPA CHAMPIONS LEAGUE,QUALIFICATION,2025-07-29,16:00,Zrinjski (Bih),Slovan Bratislava (Svk),3.1,2.2,3.1,1.37,2.85,2.73,1.41,6.22,1.09,2.55,3.25,2.6,1.03,9.36,1.26,3.51,1.82,1.88,3.05,1.33,5.47,1.11,1.73,2.0,1.5,1.33,1.5,11.0,9.5,13.0,26.0,9.5,6.5,11.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,151.0,0.3921568627450981,0.3076923076923077,0.3846153846153846,0.13946874421261884,0.7846153846153846,0.9807692307692306,1.2745098039215688,1.25,1.019607843137255,0.8,0.050000000000000266,0.7000000000000002,0.6499999999999999,1.432096184164654,19.29004621918874,-18.00416160591338,0.019230769230769332,0.21538461538461545,0.24999999999999994,1.4,1.083267920578793,1.8,1.3833221775543034,1.6,0.9478594305064437,0.2,15.1657508881031,-0.9,-8.655263152955754,2.1599999999999993,5.180801718574835,0.44170720919946926,1.183770245007214,0.5535353535353534,0.7634263722912282,3.2600000000000002,1.2519697303863844,1.1483511586452764,1.1112203666712428,1.2,0.9128709291752768,1.2,0.6972166887783963,1.8,1.3263707095903692,-0.6,-3.248931448269654,-2.5899999999999994,-2.7475729270233087,-0.908,-4.400371707900591,0.554281679061239,0.6898416903119857,0.3768208399787348,0.9538258990162959,4.17,0.7055822611536834,0.7523619655198603,0.5830161894381092
l0qVQ7Tb,PARAGUAY 1,CLAUSURA,2025-07-29,16:00,General Caballero JLM,Sportivo Trinidense,4.5,2.1,2.63,1.42,2.58,3.0,1.32,7.65,1.04,3.9,3.3,1.91,1.05,7.19,1.36,2.8,2.12,1.61,3.82,1.21,7.64,1.04,2.0,1.73,1.91,1.33,1.22,8.0,6.5,8.5,17.0,9.5,6.5,9.0,17.0,19.0,13.0,17.0,34.0,41.0,34.0,41.0,51.0,1000.0,0.25641025641025644,0.30303030303030304,0.5235602094240838,0.3361581798911754,1.1818181818181819,2.0418848167539267,0.8461538461538461,1.7277486910994764,0.4897435897435897,0.5787878787878787,1.99,0.6000000000000001,1.39,-44.856401855768794,-16.699244233993625,-34.799300509907305,1.0418848167539267,0.18181818181818185,0.7277486910994764,0.4,1.369306393762914,0.8,1.045825033167594,1.6,0.8385254915624208,-0.8,-1.0458250331675916,-2.4,-1.099242163189411,-2.0720000000000005,-0.9911957200482285,0.30369941079880236,1.1346969028657938,0.5889282804376503,0.6584003962876734,2.2960000000000003,1.1424382903426678,0.5815177116473966,0.7099959037886875,1.8,0.6085806194501847,1.6,0.9478594305064436,1.0,0.707106781186546,0.6,1.490711984999859,1.2500000000000004,1.5476433697722498,2.1060000000000003,1.4048325549987308,0.5499456865157508,0.8585332345545701,0.3838420821179443,0.9252013985210377,4.130000000000001,0.7828915071155473,0.9965172380464733,0.787408689128508
YL4M8kl4,ICELAND 2,ROUND 15,2025-07-29,16:15,Njardvik,Kopavogur,2.1,2.45,4.2,1.21,3.83,1.91,1.78,3.91,1.2,1.65,4.15,4.15,1.01,18.0,1.09,5.8,1.35,2.9,1.88,1.8,2.95,1.34,1.44,2.4,1.2,1.2,2.18,19.5,17.5,27.0,60.0,11.0,8.5,13.5,30.0,10.5,8.0,11.75,27.0,14.0,10.75,15.5,35.0,150.0,0.6060606060606061,0.24096385542168672,0.24096385542168672,0.43518864511780836,0.3975903614457831,0.3975903614457831,2.5151515151515156,1.0,2.5151515151515156,1.0,2.5000000000000004,2.5000000000000004,0.0,51.34019174590991,51.34019174590991,0.0,0.6024096385542169,0.6024096385542169,0.0,2.2,0.4979295977319692,2.6,0.6435846357954428,1.0,0.0,1.6,1.045825033167594,2.8880000000000003,0.952645332604691,6.9,1.335301005566662,0.6663138025006193,0.6915865013543199,0.35418953449978285,0.8005905062779304,4.654000000000002,0.6328110689036027,1.595157292806562,0.5216798798767349,2.0,0.7071067811865477,2.0,0.3535533905932739,1.2,0.6972166887783946,0.8,1.8540496217739166,4.198,1.7527249284291109,1.0619999999999998,2.6624982715572543,1.0468230884235818,0.5969859079665812,0.22129272488341023,0.7992287523783266,7.2219999999999995,0.7810799139161774,1.1748890848933826,0.24938385870041213
