League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
US MLS,2024-11-24,00:30:00,Los Angeles FC,Seattle Sounders,1.96,2.02,4.1,4.4,3.6,3.8,1.89,1.93,2.08,2.12,1.89,2.02,1.99,2.12,11.0,14.0,13.0,15.5,25.0,32.0,9.0,95.0,7.8,8.8,7.4,8.4,15.0,18.5,40.0,60.0,10.0,12.0,9.6,11.0,16.0,22.0,8.8,70.0,19.5,25.0,18.0,24.0,32.0,44.0,9.4,130.0,13.5,17.0,8.6,65.0,10.0,1000.0,33771963,17268707.0,4019787.0,58805.0,1.235859026,1.235859036,1.235859025,1.235859035,2.8,3.85,1.35,1.56,3.55,110.0,1.03,1.13,3.45,3.85,1.35,1.4,1.29,1.32,1.98,2.04,1.35,1.39,1.235859017,1.235859029,1.23585903,1.23585904
South Korean K League 1,2024-11-24,02:00:00,Gwangju FC,Jeonbuk Motors,2.58,2.84,2.8,3.1,3.3,3.6,1.86,1.98,2.02,2.18,1.76,1.88,2.06,2.32,11.0,14.5,9.6,12.5,16.0,22.0,1.03,55.0,9.0,12.0,6.2,8.2,10.0,14.0,1.03,38.0,14.5,19.5,9.6,13.0,14.5,19.5,1.03,50.0,1.03,44.0,1.03,34.0,1.03,48.0,1.03,110.0,21.0,29.0,25.0,34.0,1.03,1000.0,33776793,5348611.0,2224159.0,58805.0,1.235925143,1.235925188,1.235925227,1.235925152,2.98,3.05,1.48,1.51,3.55,1000.0,1.01,1.39,3.55,3.95,1.33,1.39,1.47,1.55,1.56,1.64,1.39,1.42,1.235925144,1.235925146,1.235925147,1.235925191
South Korean K League 1,2024-11-24,02:00:00,Daejeon Citizen,Jeju Utd,1.44,1000.0,2.66,5.4,2.78,990.0,1.48,4.7,1.27,3.05,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.37,1000.0,1.37,1000.0,1.03,1000.0,33776795,5352230.0,5342583.0,58805.0,1.235925053,1.235925098,1.235925137,1.235925062,2.9,3.45,1.42,1.53,4.0,1000.0,1.01,1.33,2.4,1000.0,1.01,1.71,1.22,1.61,1.01,3.3,1.01,1.56,1.235925054,1.235925056,1.235925057,1.235925101
Japanese J League 3,2024-11-24,02:00:00,FC Ryukyu,FC Gifu,2.54,3.35,2.34,2.92,2.78,1000.0,2.08,2.6,1.62,1.93,1.53,1.91,2.1,2.88,1.03,21.0,1.03,16.0,1.03,23.0,1.03,1000.0,1.03,17.0,1.03,10.5,1.03,15.0,1.03,32.0,1.03,25.0,1.03,15.5,1.03,20.0,1.03,44.0,1.03,55.0,1.03,34.0,1.03,46.0,1.03,1000.0,1.37,25.0,1.37,23.0,1.03,1000.0,33801292,7379405.0,4270387.0,58805.0,1.236222504,1.236222549,1.236222588,1.236222513,1.01,1000.0,1.01,1000.0,3.75,1000.0,1.01,1.33,3.75,5.8,1.23,1.33,1.52,1.74,1.47,1.65,1.3,1.42,1.236222505,1.236222507,1.236222508,1.236222552
Japanese J League 3,2024-11-24,02:00:00,Grulla Morioka,Fukushima Utd,2.14,9.6,1.55,1.87,4.0,1000.0,2.04,2.82,1.54,1.97,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.37,1000.0,1.37,1000.0,1.03,1000.0,33801294,8535701.0,4271905.0,58805.0,1.236222414,1.236222459,1.236222498,1.236222423,1.01,1000.0,1.01,1000.0,2.04,1000.0,1.01,1.97,2.04,1000.0,1.01,1.97,2.14,2.82,1.11,1.87,1.18,1.34,1.236222415,1.236222417,1.236222418,1.236222462
Japanese J League 3,2024-11-24,02:00:00,Omiya,Toyama,2.04,2.36,3.2,3.75,3.7,4.4,2.0,2.3,1.78,2.0,1.65,1.89,2.12,2.54,1.03,18.0,1.03,16.5,1.03,28.0,1.03,70.0,1.37,12.5,7.2,9.6,1.03,16.0,1.03,42.0,1.03,16.0,1.03,12.0,1.03,19.5,1.03,50.0,1.03,30.0,1.03,25.0,1.03,38.0,1.03,95.0,1.37,16.5,1.37,36.0,1.03,1000.0,33801295,1080509.0,4296466.0,58805.0,1.236222324,1.236222369,1.236222408,1.236222333,2.3,6.2,1.01,1000.0,3.8,1000.0,1.01,1.09,3.8,4.8,1.27,1.36,1.36,1.46,1.73,1.96,1.3,1.37,1.236222325,1.236222327,1.236222328,1.236222372
Japanese J League 3,2024-11-24,02:00:00,Nagano Parceiro,Kamatamare Sanuki,2.36,3.25,2.38,3.35,3.05,4.4,1.86,2.26,1.79,2.24,1.63,2.02,1.98,2.58,1.03,16.5,1.03,14.0,1.03,23.0,1.03,1000.0,1.03,14.0,1.03,9.8,1.03,15.5,1.03,36.0,1.03,23.0,1.03,15.5,1.03,22.0,1.03,1000.0,1.03,1000.0,1.03,36.0,1.03,1000.0,1.03,1000.0,1.37,29.0,1.37,29.0,1.03,1000.0,33801290,6641607.0,4233864.0,58805.0,1.236222684,1.236222729,1.236222768,1.236222693,2.62,3.8,1.36,1.62,3.35,1000.0,1.01,1.43,3.35,4.7,1.27,1.43,1.46,1.64,1.44,1.64,1.3,1.49,1.236222685,1.236222687,1.236222688,1.236222732
Japanese J League 3,2024-11-24,02:00:00,Yokohama SCC,Kitakyushu,3.9,8.8,1.78,2.42,2.98,5.5,1.53,2.46,1.69,2.86,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.37,1000.0,1.37,1000.0,1.03,1000.0,33801288,7391084.0,5026013.0,58805.0,1.236222774,1.236222819,1.236222858,1.236222783,1.01,1000.0,1.21,1.95,2.32,1000.0,1.01,1.76,2.32,7.4,1.15,1.76,1.71,2.28,1.13,1.34,1.22,1.51,1.236222775,1.236222777,1.236222778,1.236222822
Japanese J League 3,2024-11-24,02:00:00,FC Imabari,Tegevajaro Miyazaki,1.23,1.89,4.3,8.4,2.86,1000.0,1.77,2.24,1.8,2.3,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.37,1000.0,1.37,1000.0,1.03,1000.0,33801286,6641602.0,16139510.0,58805.0,1.236222864,1.236222909,1.236222948,1.236222873,1.01,1000.0,1.01,1000.0,2.6,1000.0,1.01,1.63,2.6,1000.0,1.01,1.63,1.13,1.3,2.12,5.4,1.23,1.54,1.236222865,1.236222867,1.236222868,1.236222912
Japanese J League 3,2024-11-24,02:00:00,Vanraure Hachinohe,FC Osaka,2.46,3.5,2.32,3.25,2.46,1000.0,1.66,2.12,1.89,2.52,1.69,2.18,1.85,2.46,1.03,14.5,1.03,13.0,1.03,21.0,1.03,1000.0,1.03,13.5,1.03,9.4,1.03,15.5,1.03,1000.0,1.03,23.0,1.03,16.0,1.03,23.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.37,1000.0,1.37,1000.0,1.03,1000.0,33801296,7632116.0,9301693.0,58805.0,1.236222234,1.236222279,1.236222318,1.236222243,2.5,3.55,1.39,1.67,3.9,1000.0,1.01,1.34,2.92,4.3,1.3,1.52,1.44,1.76,1.4,1.66,1.31,1.54,1.236222235,1.236222237,1.236222238,1.236222282
