Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway,Media_Ptos_H,Media_Ptos_A,CV_Ptos_H,CV_Ptos_A,Media_GM_H,Media_GM_A,CV_GM_H,CV_GM_A,Media_GS_H,Media_GS_A,CV_GS_H,CV_GS_A,Media_SG_H,Media_SG_A,CV_SG_H,CV_SG_A,Media_SG_H_01,Media_SG_A_01,CV_SG_H_01,CV_SG_A_01,Media_SG_H_02,Media_SG_A_02,CV_SG_H_02,CV_SG_A_02,Media_VG_H,Media_VG_A,CV_VG_H,CV_VG_A,Media_CG_H_00,Media_CG_A_00,CV_CG_H_00,CV_CG_A_00,Media_CG_H_01,Media_CG_A_01,CV_CG_H_01,CV_CG_A_01,Media_CG_H_02,Media_CG_A_02,CV_CG_H_02,CV_CG_A_02
bNza3zEb,SAUDI ARABIA 2,ROUND 17,2025-01-16,09:30,Al Zulfi,Neom SC,6.0,2.12,2.07,1.43,2.6,2.65,1.42,0.0,0.0,6.4,3.6,1.52,0.0,0.0,1.29,3.3,1.9,1.81,3.15,1.31,0.0,0.0,1.78,1.82,2.45,1.24,1.11,10.25,6.6,7.2,11.25,17.0,7.2,7.8,12.0,45.0,19.5,16.0,25.0,150.0,70.0,60.0,70.0,600.0,1,0,2,1,"[29, 61]",[90],0,0,0.15625,0.2777777777777778,0.6578947368421053,0.6377178277089154,1.777777777777778,4.2105263157894735,0.5625,2.3684210526315788,0.2375,0.4222222222222222,4.880000000000001,2.8000000000000003,2.08,-67.71441235316725,-54.46232220802562,-46.12330271407543,3.2105263157894743,0.7777777777777778,1.368421052631579,1.8,1.8,0.9128709291752768,0.9128709291752768,1.6,2.0,0.7126096406869612,0.6123724356957945,1.0,1.6,1.224744871391589,0.5590169943749473,0.6,0.4,2.7888667551135855,3.3541019662496843,1.8399999999999999,0.4660000000000002,2.9376973247483567,4.139311988411281,1.4020000000000004,5.03,3.0796707995619816,2.3347740193079107,0.6771821282284186,0.2964422931305436,0.7826410516697735,0.6049762475963896,0.34783868092691617,0.42074072930973294,1.0696435297590494,0.7715591359743087,5.168000000000001,2.9200000000000004,0.75474616280258,0.5691065761258423,0.9827602980886324,1.3397655071040622,0.5622679299309823,0.4709879647793322
6mv71ErB,SAUDI ARABIA 2,ROUND 17,2025-01-16,09:45,Al Jabalain,Al Batin,2.37,2.07,4.6,1.48,2.45,0.0,0.0,0.0,0.0,1.8,3.3,4.35,0.0,0.0,1.34,2.95,2.07,1.68,3.6,1.25,0.0,0.0,1.87,1.75,1.19,1.28,1.98,8.5,11.25,24.0,75.0,6.0,6.4,14.5,45.0,7.7,8.25,16.5,50.0,14.5,15.5,32.0,90.0,800.0,1,1,2,1,"[21, 90]",[33],0,0,0.5555555555555556,0.30303030303030304,0.2298850574712644,0.40685732120559664,0.5454545454545455,0.4137931034482759,1.8333333333333333,0.7586206896551725,2.4166666666666665,1.3181818181818181,2.55,1.4999999999999998,1.0499999999999998,51.89242312248514,36.86989764584401,27.699472808054992,0.5862068965517242,0.45454545454545453,0.24137931034482757,2.2,0.4,0.4979295977319691,1.3693063937629157,1.0,0.8,0.7071067811865475,1.3693063937629153,0.4,2.8,2.2360679774997902,0.6869780022025481,0.6,-2.0,0.9128709291752762,-1.1726039399558577,2.144,-10.006,1.2280775610645285,-1.304197098439983,1.8039999999999998,-3.7,1.1401200689030004,-0.9941391436621356,0.4455791613883727,0.3547770700636942,0.8601922021753255,1.5715515512002354,0.4538043652575534,0.6756974403221166,0.7843909046005223,0.6630519065408322,3.5439999999999996,2.632,0.8571879957051096,1.578103017335326,0.6769021826287767,0.5189662363101135,0.5166065256188833,1.1856412905868852
bu8xg2cJ,SAUDI ARABIA 1,ROUND 15,2025-01-16,10:55,Al Okhdood,Al Feiha,3.0,1.91,3.75,1.53,2.38,3.75,1.25,8.5,1.05,2.3,3.1,3.2,1.1,6.5,1.44,2.63,2.38,1.53,4.5,1.17,8.5,1.05,2.1,1.67,1.36,1.36,1.57,7.0,8.0,15.0,34.0,6.5,6.0,13.0,29.0,10.0,10.0,19.0,41.0,21.0,21.0,41.0,67.0,1250.0,1,1,1,2,[45],"[34, 87]",1.07,1.32,0.4347826086956522,0.3225806451612903,0.3125,0.1720773091505668,0.7419354838709676,0.7187499999999999,1.347826086956522,0.96875,1.3913043478260871,1.032258064516129,0.9000000000000004,0.8000000000000003,0.10000000000000009,24.22774531795418,21.80140948635182,2.86240522611175,0.2812500000000001,0.25806451612903236,0.03125000000000003,1.0,0.6,1.2247448713915887,0.9128709291752772,1.4,1.0,1.083267920578793,0.9999999999999998,1.0,2.0,1.0,0.35355339059327384,0.4,-1.0,5.184110338331931,-1.4142135623730954,-0.18000000000000002,-10.8,-26.124110239441126,-1.578696915375869,2.132,-1.2040000000000002,3.712236388795482,-1.39031682438781,0.4771274619100706,0.4694883258817685,0.8109050639573955,1.031961451170386,0.43383458646616535,0.5333041204032765,0.8110638741283381,0.8121035072684726,3.5799999999999996,3.152,0.8087062538785414,1.0541649095971848,0.917577904298318,0.6198470028082278,0.8556011631689606,0.8960196772671803
KjbZF4nD,EGYPT 1,ROUND 8,2025-01-16,11:00,Zamalek,Haras El Hodood,1.8,2.3,8.5,1.4,2.75,2.67,1.42,5.8,1.1,1.35,4.2,10.0,1.07,6.7,1.35,2.92,2.05,1.7,3.5,1.26,6.1,1.09,2.5,1.47,1.06,1.19,3.2,6.7,19.0,70.0,350.0,5.0,8.75,32.0,175.0,5.2,9.0,29.0,150.0,7.7,13.5,45.0,200.0,101.0,3,1,3,2,"[12, 36, 45]","[25, 86]",3.03,2.60,0.7407407407407407,0.23809523809523808,0.1,0.8504260887449219,0.32142857142857145,0.135,3.111111111111111,0.42000000000000004,7.4074074074074066,2.380952380952381,8.65,2.85,5.8,76.9811975702152,54.940573033113026,70.97439396243132,0.865,0.6785714285714286,0.58,1.4,0.8,1.083267920578793,1.629800601300662,1.2,0.8,1.0865337342004417,1.369306393762915,1.2,1.4,1.0865337342004415,0.3912303982179761,0.0,-0.6,1.0,-1.9002923751652305,-0.05999999999999996,-3.22,-47.101397714576095,-1.6777589233326544,0.6900000000000024,-1.1920000000000004,11.800074403732651,-2.523365262253096,0.27839889579020005,0.34236615994712494,1.2638474270686402,1.4767014854642675,0.6074121000950269,0.6646853146853147,0.6376469313155436,0.6942876904274924,2.2399999999999998,2.96,1.1531129880188489,1.5455111843779243,0.8595526613677492,0.5548945404877608,0.7739956646651832,1.0087242789605233
0nXFahDN,SAUDI ARABIA 2,ROUND 17,2025-01-16,11:50,Al Adalah,Al Arabi,2.7,2.12,3.55,1.45,2.6,2.5,1.48,0.0,0.0,2.15,3.4,3.05,0.0,0.0,1.23,3.75,1.74,1.97,2.75,1.39,0.0,0.0,1.62,2.02,1.32,1.27,1.7,11.25,10.25,16.5,37.0,8.75,6.7,10.75,25.0,11.25,8.75,13.0,32.0,21.0,16.0,24.0,55.0,400.0,1,3,2,4,"[45, 67]","[20, 23, 27, 90]",0,0,0.46511627906976744,0.29411764705882354,0.3278688524590164,0.2249481642110826,0.6323529411764706,0.7049180327868853,1.5813953488372092,1.1147540983606559,1.4186046511627908,0.8970588235294117,0.8999999999999999,1.25,0.3500000000000001,24.22774531795417,32.005383208083494,-9.926245506651709,0.29508196721311475,0.36764705882352944,0.11475409836065577,2.6,1.4,0.3440104580768907,1.083267920578793,2.6,1.2,0.43852900965351455,0.912870929175277,1.0,1.6,0.7071067811865462,0.8385254915624211,1.6,-0.4,0.9478594305064434,-5.184110338331929,3.282,-2.6279999999999997,0.8293687519539646,-2.5754224698901633,6.709999999999999,-0.050000000000000176,1.2444827165686394,-103.36827366266658,0.737110377253168,0.4650714974274125,0.4906279110767826,0.6852532879485157,0.23061175866170283,0.4147155022750445,0.6401729383340968,0.8161914401679133,5.45,3.3280000000000003,0.43751176833162764,0.6922590450573144,1.5448976929171492,0.7717970155767866,0.3883104220524997,0.7642707747742853
UaGLdpbf,SAUDI ARABIA 1,ROUND 15,2025-01-16,12:05,Al Hilal,Al Fateh,1.36,3.5,11.0,1.14,5.0,1.67,2.1,3.25,1.33,1.1,9.0,19.0,1.01,17.0,1.05,8.5,1.22,4.0,1.53,2.38,2.2,1.62,1.83,1.83,1.01,1.04,6.5,34.0,51.0,81.0,151.0,15.0,19.0,41.0,101.0,9.5,13.0,26.0,67.0,8.0,11.0,26.0,51.0,600.0,4,0,9,0,"[20, 39, 45, 45, 54, 65, 89, 90, 90]",[],3.99,1.40,0.9090909090909091,0.1111111111111111,0.05263157894736842,0.9247945600036527,0.12222222222222223,0.05789473684210527,8.181818181818182,0.47368421052631576,17.27272727272727,2.111111111111111,17.9,7.9,10.0,83.62467902519151,75.79323388223963,78.69006752597979,0.9421052631578947,0.8777777777777778,0.5263157894736842,3.0,0.2,0.0,2.236067977499787,2.8,0.6,0.15971914124998454,1.4907119849998607,0.8,1.8,1.045825033167594,0.2484519974999769,2.0,-1.2,0.35355339059327345,-0.6972166887783963,2.47,-5.76,0.36459732153585106,-1.097230463225028,24.8,-2.248,0.6707379802019033,-0.6193538422215409,0.3122408026755853,0.40098661028893573,0.7971270779340619,1.675878476021695,0.3016678223835794,0.677016129032258,0.22133357691327413,0.6672245722021407,3.4519999999999995,3.8200000000000016,0.2307826724221404,1.8167237500700077,1.812501733575369,0.42776335241272107,0.1310345268550724,0.9923225577503174
OO4QHQH0,EGYPT 1,ROUND 8,2025-01-16,14:00,Al Masry,Pharco,2.7,1.87,4.9,1.55,2.32,3.15,1.31,7.0,1.07,2.05,2.72,4.45,1.13,5.1,1.52,2.37,2.52,1.47,4.45,1.17,7.7,1.05,2.05,1.7,1.21,1.4,1.75,5.1,9.25,24.0,90.0,5.4,5.4,15.0,55.0,8.5,8.75,16.5,65.0,19.5,20.0,37.0,100.0,101.0,1,0,1,0,[20],[],0.98,1.01,0.48780487804878053,0.3676470588235294,0.2247191011235955,0.4029499473114523,0.7536764705882352,0.46067415730337075,1.3268292682926832,0.6112359550561798,2.1707317073170733,1.6360294117647058,2.4000000000000004,0.6700000000000004,1.73,50.19442890773481,18.520849477471113,40.8598054317002,0.5393258426966293,0.24632352941176483,0.3887640449438202,0.8,1.2,1.629800601300662,0.9128709291752768,0.2,0.4,2.2360679774997894,2.236067977499789,0.8,0.8,1.045825033167594,1.629800601300662,-0.6,-0.4,-1.9002923751652288,-3.791437722025775,-3.253999999999999,-3.2700000000000005,-1.6263878473547586,-2.8625470431848945,-1.1500000000000008,-0.38199999999999984,-2.057307506838436,-6.269138893364581,0.09009009009009009,0.1702127659574468,2.2360679774997965,2.2360679774997894,0.8588235294117647,0.8289855072463768,0.3675728182191432,0.46128675060310337,0.6799999999999998,1.38,2.23606797749979,2.23606797749979,0.2645286875822086,0.34193279387787395,0.8823207038294947,1.3210024070659259
0tY2vOaN,SAUDI ARABIA 1,ROUND 15,2025-01-16,14:00,Al Ittihad,Al Raed,1.62,2.75,8.0,1.25,3.75,2.2,1.62,4.5,1.17,1.22,6.0,9.0,1.02,12.0,1.13,5.5,1.44,2.63,2.1,1.67,3.5,1.29,2.0,1.73,1.04,1.08,3.6,17.0,26.0,51.0,126.0,9.0,12.0,29.0,67.0,7.0,9.5,23.0,51.0,8.0,11.0,26.0,67.0,700.0,2,0,4,1,"[21, 45, 71, 77]",[58],1.20,1.08,0.819672131147541,0.16666666666666666,0.1111111111111111,0.7257319391226199,0.20333333333333334,0.13555555555555554,4.918032786885246,0.6666666666666666,7.377049180327869,1.5,7.78,4.78,3.0,75.58317422208754,67.29507605935066,56.309932474020215,0.8644444444444445,0.7966666666666667,0.3333333333333333,1.4,0.6,1.083267920578793,2.23606797749979,0.8,0.8,1.3693063937629164,1.045825033167594,0.6,2.2,0.9128709291752751,0.6741998624632418,0.2,-1.4,6.519202405202648,-1.2975644374703537,-0.16000000000000006,-10.3,-18.4651276058413,-0.9377542700395839,2.466,-2.128,3.194271314059667,-1.5038893564614517,0.23181818181818184,0.6202597248056919,1.6986549623971416,1.1673145196859143,0.7134623797025371,0.48077192982456146,0.5606454909456592,0.9949892144786175,1.6600000000000008,8.2,1.5314480532450534,1.5249084485055544,0.6144338165591414,0.47727192982456146,1.0032342002161316,0.8423844349500225
OMZGGwxn,ENGLAND 1,ROUND 21,2025-01-16,16:30,Ipswich,Brighton,4.0,2.25,2.5,1.33,3.25,2.63,1.44,7.0,1.1,3.7,3.6,1.95,1.04,13.0,1.25,4.0,1.8,2.0,3.0,1.4,5.5,1.14,1.67,2.1,1.8,1.29,1.29,13.0,9.5,11.0,19.0,13.0,7.5,9.5,17.0,21.0,13.0,15.0,26.0,41.0,29.0,34.0,51.0,201.0,0,0,0,2,[],"[59, 82]",0.29,0.97,0.27027027027027023,0.2777777777777778,0.5128205128205129,0.31873563216876905,1.027777777777778,1.8974358974358976,0.9729729729729729,1.8461538461538463,0.527027027027027,0.5416666666666666,1.7500000000000002,0.10000000000000009,1.6500000000000001,-41.18592516570965,-2.86240522611175,-39.52263127117113,0.8974358974358976,0.0277777777777778,0.8461538461538463,0.8,1.2,1.6298006013006612,0.912870929175277,0.8,1.6,1.045825033167595,0.3423265984407287,1.6,1.8,0.947859430506444,0.4648111258522646,-0.8,-0.2,-2.7099354235848483,-5.477225575051656,-2.3800000000000012,-0.46400000000000097,-4.938574745216272,-6.307140697750016,-1.656,-0.55,-2.1504139545057144,-4.980955466110072,0.5116384488112237,0.6175876274499552,1.145251466572813,0.5321195971602345,0.5083397683397683,0.27827425671502337,0.8939899001152188,0.4552074991145008,4.54,4.462,1.263557155404341,0.5549146299841267,0.5136153728916886,0.9989963917228726,0.771362845115082,0.2827184578536537
W616Rfj4,ENGLAND 1,ROUND 21,2025-01-16,17:00,Manchester Utd,Southampton,1.73,2.63,8.5,1.29,3.5,2.25,1.57,5.5,1.14,1.27,6.0,10.0,1.03,17.0,1.17,5.0,1.57,2.38,2.38,1.57,4.33,1.22,2.0,1.75,1.06,1.13,3.75,15.0,26.0,51.0,151.0,9.0,12.0,29.0,67.0,7.0,10.0,26.0,67.0,8.5,12.0,29.0,81.0,451.0,0,1,3,1,"[82, 90, 90]",[43],3.20,1.52,0.7874015748031495,0.16666666666666666,0.1,0.7591344362380236,0.21166666666666667,0.127,4.724409448818897,0.6,7.874015748031496,1.6666666666666667,8.73,4.73,4.0,77.09648864730559,67.07975549675191,63.43494882292201,0.873,0.7883333333333334,0.4,1.2,0.4,1.369306393762915,1.3693063937629097,1.8,0.4,0.9938079899999063,1.3693063937629182,2.0,1.2,0.6123724356957945,0.6972166887783969,-0.2,-0.8,-13.874436925511617,-1.0458250331675947,-0.9940000000000004,-4.5699999999999985,-4.95659250595684,-0.9373373384735397,2.182,-1.3239999999999994,6.664785682946596,-1.1802504476180418,0.27367588932806325,0.2782608695652174,1.0712696804184996,1.371286019480335,0.5463721820220893,0.6586666666666667,0.7640273743092869,0.7097444283224241,2.656,2.749999999999999,1.0088310122363497,1.3787046261911906,1.1981343127442283,0.28415153826595463,0.796739471087767,0.9340299899931914
