Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway,Media_Ptos_H,CV_Ptos_H,Media_GM_H,CV_GM_H,Media_GS_H,CV_GS_H,Media_SG_H,CV_SG_H,Media_SG_H_01,CV_SG_H_01,Media_SG_H_02,CV_SG_H_02,Media_VG_H,CV_VG_H,Media_CG_H_00,CV_CG_H_00,Media_CG_H_01,CV_CG_H_01,Media_CG_H_02,CV_CG_H_02,Media_Ptos_A,CV_Ptos_A,Media_GM_A,CV_GM_A,Media_GS_A,CV_GS_A,Media_SG_A,CV_SG_A,Media_SG_A_01,CV_SG_A_01,Media_SG_A_02,CV_SG_A_02,Media_VG_A,CV_VG_A,Media_CG_A_00,CV_CG_A_00,Media_CG_A_01,CV_CG_A_01,Media_CG_A_02,CV_CG_A_02
COBl3MjL,IRELAND 1,ROUND 25,2025-06-16,15:45,Drogheda,Shamrock Rovers,5.0,2.1,2.4,1.47,2.5,3.0,1.34,6.6,1.08,4.75,3.5,1.8,1.08,6.6,1.36,2.92,2.05,1.7,3.45,1.26,6.0,1.09,1.95,1.8,1.95,1.29,1.18,8.5,6.5,8.0,15.0,11.0,6.5,8.5,15.0,23.0,15.0,17.0,29.0,51.0,41.0,41.0,51.0,401.0,0.21052631578947367,0.2857142857142857,0.5555555555555556,0.4420027729839059,1.3571428571428572,2.638888888888889,0.7368421052631579,1.9444444444444444,0.37894736842105264,0.5142857142857143,2.95,1.25,1.7,-55.864059922087726,-32.005383208083494,-40.36453657309736,1.6388888888888888,0.35714285714285715,0.9444444444444444,1.8,0.6085806194501847,1.2,1.0865337342004409,0.8,1.3693063937629162,0.4,1.3693063937629193,0.9700000000000004,1.4320251890213769,1.2799999999999987,1.4765418318660388,0.39376623376623365,0.9683390788887236,0.5411642411642411,0.7819475972680924,2.75,0.9796271849472133,0.7844227798387391,0.8938841740022482,2.2,0.49792959773196943,1.8,0.4648111258522643,1.0,0.7071067811865475,0.8,1.0458250331675938,1.7159999999999997,0.931540978723517,2.9120000000000013,1.2156651610961444,0.5457519766756983,0.471476013655328,0.30878639334521696,0.5488912285257072,4.002,0.4436615998437552,1.1317661913250148,0.3854163051748688
W8hLc0Er,IRELAND 1,ROUND 25,2025-06-16,15:45,St. Patricks,Shelbourne,2.75,2.05,4.33,1.5,2.42,3.15,1.31,6.9,1.07,2.05,3.4,3.5,1.08,6.4,1.4,2.75,2.15,1.62,3.75,1.23,6.6,1.08,2.0,1.75,1.29,1.3,1.73,8.5,8.5,17.0,41.0,6.5,6.5,13.0,34.0,9.0,9.0,17.0,41.0,19.0,19.0,34.0,67.0,401.0,0.48780487804878053,0.29411764705882354,0.2857142857142857,0.2714531980615943,0.6029411764705882,0.5857142857142856,1.6585365853658538,0.9714285714285714,1.707317073170732,1.0294117647058825,1.4500000000000002,1.35,0.10000000000000009,35.942111871382345,34.01934998982646,2.86240522611175,0.4142857142857143,0.3970588235294118,0.0285714285714286,1.8,0.6085806194501849,1.8,0.6085806194501849,1.2,0.912870929175277,0.6,1.4907119849998598,1.032,1.6042953580739907,3.04,1.3764000678634187,0.40167646796054274,0.7093402993732268,0.40911844492316307,0.8190546837662432,3.2039999999999997,0.618739992942607,1.1891838044002874,0.48332790296720884,0.6,0.9128709291752772,1.0,0.9999999999999994,1.6,0.34232659844072877,-0.6,-1.4907119849998576,-2.02,-1.5300153482837116,-1.3499999999999999,-1.4907119849998576,0.43321123321123317,1.1364671678707268,0.5552454780361756,0.7679081197460783,3.2299999999999995,1.1835577633925098,0.6695633432167565,0.7527266784562284
d8JQoqtC,WORLD - FIFA CLUB WORLD CUP,ROUND 1,2025-06-16,16:00,Chelsea,Los Angeles FC,1.67,2.75,8.5,1.28,3.55,2.2,1.65,4.65,1.18,1.29,5.25,11.0,1.03,12.5,1.17,5.2,1.52,2.57,2.25,1.65,3.75,1.28,1.95,1.8,1.05,1.17,3.5,15.0,26.0,51.0,126.0,8.5,10.0,29.0,67.0,7.0,9.0,21.0,51.0,8.5,11.0,26.0,51.0,251.0,0.7751937984496123,0.19047619047619047,0.09090909090909091,0.8350776820340996,0.24571428571428572,0.11727272727272728,4.069767441860465,0.4772727272727273,8.527131782945736,2.0952380952380953,9.71,3.96,5.75,78.36137130883827,63.203918706026535,70.8209919741893,0.8827272727272728,0.7542857142857142,0.5227272727272727,2.4,0.5590169943749472,1.4,0.6388765649999406,0.6,1.490711984999858,0.8,1.3693063937629146,1.54,1.32415797129338,2.77,3.2267482446548414,0.3185592185592186,1.3276638550190019,0.6317817471852862,0.4524902976228285,2.456,1.013461755841913,1.0448763808390198,0.3622280169725567,0.8,0.5590169943749514,1.8,0.6085806194501849,2.0,0.35355339059327295,-0.2,-2.236067977499807,-0.6599999999999995,-2.2360679774997796,-0.4299999999999996,-2.236067977499798,0.6640522875816993,0.6875899999709244,0.35300422163167255,1.0372206158802408,4.6,0.6779333099788117,1.0956529309470486,0.5178544024618058
neLO3mMc,ICELAND 1,ROUND 11,2025-06-16,16:15,Vikingur Reykjavik,KR Reykjavik,2.0,2.8,3.95,1.16,4.6,1.72,2.0,3.1,1.32,1.62,4.6,4.05,0.0,0.0,1.08,6.6,1.26,3.5,1.65,2.12,2.37,1.52,1.33,3.05,1.24,1.18,2.27,37.0,29.0,37.0,70.0,17.0,11.75,15.5,29.0,14.0,9.5,12.0,23.0,16.5,11.25,14.5,27.0,100.0,0.6172839506172839,0.2173913043478261,0.2469135802469136,0.4632208991081782,0.35217391304347834,0.4,2.839506172839506,1.1358024691358024,2.4999999999999996,0.8804347826086957,2.4299999999999997,2.9799999999999995,0.5499999999999998,50.54407334395824,56.13282089127413,-15.376251248826184,0.6,0.6478260869565217,0.13580246913580243,3.0,0.0,2.8,0.29880715233359817,0.8,1.0458250331675938,2.0,0.6123724356957946,2.8940000000000006,0.6876799320344553,14.140000000000004,0.535468571842096,0.4508365708365708,0.5685130559810684,0.28235788974791903,0.41061571900335325,4.054,0.3947551712905286,1.7583435528303564,0.21574392353216376,0.6,0.9128709291752768,2.4,0.22821773229381925,3.0,0.3333333333333333,-0.6,-1.490711984999859,-1.4379999999999993,-1.5426858786329887,-1.46,-1.4298509134970303,1.0715350505372843,0.4056444220429435,0.17251189344212595,0.3175246975285835,6.534000000000001,0.4562166087057367,1.3965627779581264,0.18755511640173483
CliE5WL7,WORLD - FIFA CLUB WORLD CUP,ROUND 1,2025-06-16,19:00,Boca Juniors,Benfica,5.0,2.25,2.3,1.42,2.8,2.87,1.4,6.6,1.1,4.5,3.7,1.75,1.06,9.25,1.31,3.5,1.91,1.9,3.25,1.35,6.0,1.13,1.91,1.91,2.0,1.29,1.18,11.0,7.0,8.0,13.0,13.0,7.0,8.5,15.0,23.0,15.0,17.0,26.0,51.0,41.0,41.0,51.0,251.0,0.2222222222222222,0.27027027027027023,0.5714285714285714,0.4264848722154522,1.2162162162162162,2.5714285714285716,0.8222222222222223,2.1142857142857143,0.3888888888888889,0.47297297297297297,2.75,0.7999999999999998,1.9500000000000002,-53.9726266148964,-21.801409486351808,-44.27477570094075,1.5714285714285714,0.21621621621621614,1.1142857142857143,1.2,1.3693063937629153,0.6,1.4907119849998574,0.8,0.5590169943749487,-0.2,-5.477225575051656,-1.3439999999999992,-2.42681941245569,0.14600000000000007,25.495493182919102,0.15639097744360897,1.5939512142386272,0.7523310895038644,0.47031700466788295,1.2220000000000004,1.5211751264087727,0.49440869888740935,0.997268174986145,2.6,0.344010458076891,2.6,0.4385290096535154,0.6,0.9128709291752772,2.0,0.7071067811865479,3.2120000000000006,0.8011275579263505,11.9,0.7039539485229999,0.4940259740259739,0.7946007043238407,0.335586917887385,0.641445644582782,4.168000000000001,0.6404948091029016,1.639578924046574,0.3264261404414908
CzA7ZgkU,BRAZIL 2,ROUND 12,2025-06-16,19:00,Chapecoense-SC,Ferroviaria,2.88,1.95,4.5,1.57,2.3,3.45,1.28,8.0,1.06,2.1,3.0,3.5,1.12,5.7,1.5,2.47,2.5,1.5,4.55,1.18,8.0,1.06,2.2,1.62,1.25,1.33,1.62,6.5,8.0,17.0,41.0,6.0,6.0,13.0,34.0,9.0,10.0,19.0,51.0,19.0,21.0,41.0,81.0,0.0,0.47619047619047616,0.3333333333333333,0.2857142857142857,0.2474860076022414,0.7000000000000001,0.6,1.4285714285714286,0.8571428571428571,1.6666666666666665,1.1666666666666667,1.4,0.8999999999999999,0.5,34.99202019855866,24.22774531795417,14.036243467926479,0.39999999999999997,0.3,0.14285714285714285,2.4,0.559016994374948,2.0,0.6123724356957947,0.8,1.045825033167595,1.2,1.4907119849998594,2.4899999999999998,1.4831189909306033,4.9399999999999995,1.580218527037058,0.5830687830687831,0.4827978505682179,0.28275723244763484,0.5916549890193247,4.6,0.5187869375557274,1.2173051406797537,0.5136037090442391,1.0,1.224744871391589,0.8,1.369306393762915,1.2,0.6972166887783964,-0.4,-2.8504385627478444,-2.0,-3.128747752695957,-0.7360000000000001,-2.6963280128856413,0.4864345383307459,1.369569921185274,0.6316770186335404,0.7984727597650716,5.1,1.3802306055198483,0.4975781350609726,1.0675438201192173
lOVqVasH,COLOMBIA 1,APERTURA,2025-06-16,20:15,Santa Fe,Once Caldas,2.6,2.05,4.75,1.53,2.42,3.15,1.33,7.3,1.07,1.9,3.1,4.2,1.09,6.5,1.4,2.82,2.15,1.65,3.75,1.24,6.8,1.08,2.0,1.73,1.22,1.36,1.91,7.5,10.0,21.0,41.0,6.0,6.5,15.0,41.0,8.0,9.0,17.0,41.0,15.0,17.0,34.0,51.0,351.0,0.5263157894736842,0.3225806451612903,0.23809523809523808,0.3751181288421174,0.6129032258064515,0.45238095238095233,1.6315789473684212,0.7380952380952381,2.210526315789474,1.3548387096774195,2.3000000000000003,1.2000000000000002,1.1,48.990913098429786,30.96375653207353,28.810793742973065,0.5476190476190477,0.38709677419354843,0.2619047619047619,1.0,1.2247448713915896,0.8,1.0458250331675931,1.0,0.7071067811865477,-0.2,-4.183300132670372,-0.8799999999999993,-2.22992363116463,0.5000000000000003,8.216142647252422,0.16253393665158375,1.049910521296342,0.666692789968652,0.4856695777442301,1.4500000000000004,0.9765380867935377,0.6770102950442217,0.6670717361109605,1.4,1.0832679205787932,0.8,1.0458250331675945,1.0,0.9999999999999998,-0.2,-6.519202405202649,-2.2199999999999993,-2.8610519132799586,0.12999999999999998,24.378912218282938,0.24555555555555567,0.9638845480243524,0.6069230769230769,0.5989917437285386,1.8199999999999998,0.9692781130197824,0.5556108597285068,0.898852476484467
KnEfQyzH,CHILE 1,ROUND 14,2025-06-16,21:00,Deportes Iquique,Everton,3.4,2.1,3.25,1.45,2.7,2.95,1.39,6.9,1.09,2.7,3.1,2.63,1.08,7.9,1.38,3.1,2.12,1.72,3.75,1.28,7.1,1.1,1.83,1.83,1.44,1.36,1.44,8.5,8.0,13.0,26.0,8.5,6.0,10.0,23.0,13.0,11.0,15.0,34.0,26.0,23.0,34.0,51.0,251.0,0.37037037037037035,0.3225806451612903,0.3802281368821293,0.09024001660573643,0.8709677419354839,1.0266159695817492,1.1481481481481481,1.1787072243346008,0.974074074074074,0.8483870967741934,0.07000000000000028,0.3999999999999999,0.4700000000000002,-2.004534032105912,11.309932474020211,-13.224551192213534,0.02661596958174916,0.1290322580645161,0.17870722433460084,0.6,2.2360679774997885,0.8,1.6298006013006623,2.2,0.7468943965979536,-1.4,-1.9298937265866136,-2.97,-2.0824310191008863,-4.581999999999999,-1.8367209241425182,0.29033134166214014,1.6073220618809467,0.7082993197278911,0.5803710951982742,1.9899999999999998,1.6370653098506631,0.6122978080120938,1.0512748495705089,1.8,0.912870929175277,1.4,1.083267920578793,1.6,1.5687375497513913,-0.2,-17.81852968120546,0.40000000000000197,34.29240076168463,-0.5560000000000006,-13.178290871445645,0.7769656699889257,1.0110415361002114,0.4545879851143009,1.0957518114328557,6.88,0.9657443144303325,0.8045268250841007,0.9594452998676108
KIYnLynd,ECUADOR 1,ROUND 16,2025-06-16,21:00,Orense,Macara,2.63,2.0,5.0,1.57,2.3,3.5,1.27,8.0,1.06,1.9,3.4,4.0,1.11,6.0,1.5,2.5,2.45,1.52,4.45,1.18,8.0,1.06,2.2,1.62,1.22,1.3,1.91,7.0,8.5,19.0,41.0,5.5,7.0,15.0,41.0,7.5,9.5,21.0,51.0,15.0,19.0,41.0,81.0,0.0,0.5263157894736842,0.29411764705882354,0.25,0.348924316980386,0.5588235294117647,0.475,1.7894736842105263,0.85,2.1052631578947367,1.1764705882352942,2.1,1.5,0.6000000000000001,46.39718102729638,36.86989764584402,16.699244233993625,0.525,0.4411764705882353,0.15000000000000002,2.0,0.7071067811865477,1.4,0.8144110179279554,0.8,1.0458250331675947,0.6,1.9002923751652312,1.4739999999999998,2.6522797291801607,2.210000000000001,1.4127505549622172,0.5450357230845035,1.063649606532848,0.4414536007350379,0.8218973587540703,4.054,1.015956261441438,0.9143368939776124,0.5868698559939182,1.0,1.2247448713915885,1.0,1.224744871391589,1.2,1.3693063937629155,-0.2,-4.183300132670368,-1.0,-3.117691453623946,-0.32599999999999996,-5.142617681406034,0.5358506986413963,1.181777743105848,0.5058333333333332,0.9075845187066045,4.54,1.1415133157191382,0.630429894179894,0.9562339273313676
YHKeI95D,WORLD - FIFA CLUB WORLD CUP,ROUND 1,2025-06-16,22:00,Flamengo RJ,Esperance Tunis,1.73,2.5,8.5,1.37,3.0,2.6,1.47,5.9,1.12,1.33,5.25,8.5,1.05,10.5,1.24,4.1,1.72,2.12,2.77,1.45,5.0,1.18,2.1,1.67,1.08,1.17,3.25,12.0,19.0,41.0,101.0,7.0,10.0,23.0,67.0,6.0,9.0,23.0,51.0,8.0,12.0,29.0,81.0,501.0,0.7518796992481203,0.19047619047619047,0.11764705882352941,0.7142334648189177,0.25333333333333335,0.15647058823529414,3.9473684210526314,0.6176470588235294,6.390977443609022,1.619047619047619,7.17,3.92,3.25,74.41408572700749,62.96913974015701,58.3924977537511,0.8435294117647059,0.7466666666666667,0.38235294117647056,2.6,0.3440104580768906,2.8,0.7742672638813858,0.4,2.236067977499788,2.4,0.8640183897219887,3.222,0.8917789193625051,23.5,0.7938194938798997,0.28836601307189536,0.8608912578523524,0.4516628770583768,0.851393960574786,3.6739999999999995,0.7789559049683558,1.7612204909588587,0.637453267235199,2.0,0.7071067811865475,2.6,0.5832981110808885,1.0,1.0,1.6,1.438858054152667,2.4880000000000004,1.3060579842626516,23.46,1.6906942098266884,0.3376423431722002,1.0333164054745425,0.34723674587080766,0.6368920368648477,4.162000000000001,0.675009517881161,1.6426127983897174,0.4747140182652861
