Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway
pzNuVD6r,JAPAN 2,ROUND 24,2025-08-02,02:00,Hokkaido Consadole Sapporo,Sagan Tosu,3.25,2.2,3.2,1.38,2.72,2.72,1.38,7.7,1.04,2.6,3.4,2.55,1.01,11.0,1.27,3.32,1.87,1.79,3.32,1.27,6.75,1.06,1.73,2.0,1.5,1.3,1.5,11.0,9.0,13.0,26.0,9.0,6.5,10.0,21.0,13.0,10.0,13.0,29.0,26.0,21.0,29.0,41.0,201.0,0.3846153846153846,0.29411764705882354,0.3921568627450981,0.16735775463455185,0.7647058823529412,1.019607843137255,1.3076923076923077,1.3333333333333335,0.9807692307692306,0.75,0.050000000000000266,0.7999999999999998,0.8500000000000001,-1.432096184164654,21.801409486351808,-23.025492008528037,0.01960784313725501,0.23529411764705876,0.33333333333333337
Sl95wgbn,ROMANIA 2,ROUND 1,2025-08-02,05:00,Concordia,Campulung,1.87,2.42,6.1,1.28,3.09,2.32,1.53,5.17,1.1,1.4,4.65,6.7,1.01,13.0,1.15,4.35,1.56,2.17,2.5,1.42,4.6,1.14,1.87,1.83,1.11,1.17,2.95,8.75,19.0,45.0,150.0,7.6,9.25,21.0,70.0,6.9,8.25,19.0,65.0,9.25,11.0,25.0,80.0,600.0,0.7142857142857143,0.2150537634408602,0.14925373134328357,0.6288342595243656,0.30107526881720426,0.208955223880597,3.321428571428572,0.6940298507462687,4.7857142857142865,1.4408602150537633,5.300000000000001,3.2500000000000004,2.05,69.32557523912611,58.3924977537511,45.707319368544255,0.791044776119403,0.6989247311827957,0.3059701492537313
dU0MZAcB,ROMANIA 2,ROUND 1,2025-08-02,05:00,CSM Resita,CSM Satu Mare,2.32,2.18,4.5,1.4,2.65,2.85,1.36,7.5,1.08,1.75,3.75,4.2,1.02,10.0,1.28,3.15,2.02,1.65,3.55,1.23,7.0,1.04,1.83,1.87,1.23,1.25,2.07,7.5,11.75,23.0,65.0,6.9,7.1,14.0,40.0,8.0,8.25,16.0,45.0,13.5,14.0,27.0,75.0,600.0,0.5714285714285714,0.26666666666666666,0.23809523809523808,0.4033484568966935,0.4666666666666667,0.41666666666666663,2.142857142857143,0.8928571428571428,2.4,1.12,2.45,2.0,0.4500000000000002,50.77432590266328,45.0,12.680383491819825,0.5833333333333334,0.5333333333333333,0.10714285714285718
2R3UXlSN,ROMANIA 2,ROUND 1,2025-08-02,05:00,FC Bihor,Selimbar,2.55,2.1,4.2,1.44,2.55,3.09,1.28,7.49,1.03,1.95,3.35,3.7,1.05,8.0,1.36,2.75,2.17,1.56,4.1,1.17,9.0,1.03,1.98,1.75,1.28,1.29,1.85,6.5,9.25,18.5,55.0,6.2,6.5,13.0,37.0,8.25,8.75,17.5,50.0,16.5,17.0,35.0,100.0,900.0,0.5128205128205129,0.29850746268656714,0.27027027027027023,0.3086709862908689,0.582089552238806,0.527027027027027,1.717948717948718,0.9054054054054054,1.8974358974358976,1.1044776119402986,1.7500000000000002,1.4000000000000001,0.3500000000000001,41.18592516570965,34.99202019855867,9.926245506651709,0.472972972972973,0.41791044776119407,0.09459459459459461
027DyXSb,ROMANIA 2,ROUND 1,2025-08-02,05:00,CS Din. Bucuresti,CSC Dumbravita,2.3,2.22,4.5,1.38,2.75,2.8,1.38,6.37,1.06,1.75,3.7,4.2,1.04,10.5,1.25,3.35,1.94,1.71,3.4,1.24,6.75,1.05,1.88,1.82,1.23,1.25,2.05,7.3,11.25,22.0,65.0,6.7,7.1,14.0,40.0,7.9,8.25,16.5,50.0,13.5,14.5,29.0,80.0,700.0,0.5714285714285714,0.27027027027027023,0.23809523809523808,0.40244761096645365,0.47297297297297297,0.41666666666666663,2.1142857142857143,0.8809523809523809,2.4,1.135135135135135,2.45,1.9500000000000002,0.5,50.77432590266328,44.27477570094075,14.036243467926479,0.5833333333333334,0.5270270270270271,0.11904761904761904
COTNzcsC,ROMANIA 2,ROUND 1,2025-08-02,05:00,FC Voluntari,Metalul Buzau,2.05,2.15,6.4,1.37,2.8,2.88,1.32,6.73,1.05,1.57,3.45,6.6,1.01,9.5,1.25,3.35,1.89,1.76,3.3,1.25,6.25,1.06,1.98,1.75,1.12,1.26,2.4,6.7,14.5,40.0,175.0,5.9,6.8,20.0,80.0,6.9,7.9,17.5,75.0,11.25,13.0,29.0,100.0,900.0,0.6369426751592356,0.2898550724637681,0.15151515151515152,0.6561740635634142,0.45507246376811594,0.2378787878787879,2.1974522292993632,0.5227272727272728,4.203821656050955,1.9130434782608694,5.029999999999999,1.8800000000000001,3.1499999999999995,68.31652334095257,43.22853025996593,57.5876933816488,0.7621212121212121,0.5449275362318841,0.47727272727272724
lOweJkDU,ROMANIA 2,ROUND 1,2025-08-02,05:00,Tunari,Steaua Bucuresti,4.75,2.1,2.37,1.37,2.85,2.6,1.42,6.73,1.05,4.4,3.55,1.75,1.05,10.0,1.21,3.65,1.81,1.83,3.05,1.3,6.0,1.07,1.87,1.83,2.05,1.27,1.22,7.1,6.5,7.9,13.5,11.5,6.8,8.25,14.5,24.0,14.5,16.0,28.0,70.0,45.0,50.0,80.0,700.0,0.22727272727272727,0.28169014084507044,0.5714285714285714,0.4184792473153567,1.23943661971831,2.5142857142857147,0.8068181818181818,2.0285714285714285,0.3977272727272727,0.49295774647887325,2.6500000000000004,0.8500000000000005,1.7999999999999998,-52.95752522691715,-23.02549200852805,-41.98721249581666,1.5142857142857145,0.23943661971831,1.0285714285714285
6NGskZcE,JAPAN 2,ROUND 24,2025-08-02,06:00,Toyama,Omiya Ardija,4.0,2.25,2.63,1.33,2.95,2.58,1.42,6.75,1.06,3.4,3.5,2.0,1.01,11.0,1.22,3.67,1.79,1.87,3.15,1.29,5.81,1.09,1.73,2.0,1.73,1.29,1.3,11.0,8.0,10.0,19.0,11.0,7.0,9.0,17.0,17.0,12.0,13.0,26.0,41.0,26.0,34.0,41.0,201.0,0.29411764705882354,0.2857142857142857,0.5,0.2826909129305421,0.9714285714285714,1.7,1.0294117647058825,1.75,0.5882352941176471,0.5714285714285714,1.4,0.10000000000000009,1.5,-34.99202019855866,2.86240522611175,-36.86989764584402,0.7,0.0285714285714286,0.75
z1TvRMBO,JAPAN 2,ROUND 24,2025-08-02,06:00,V-Varen Nagasaki,Vegalta Sendai,2.63,2.2,4.0,1.33,2.95,2.72,1.38,6.75,1.06,2.0,3.4,3.5,1.01,11.0,1.25,3.41,1.87,1.79,3.32,1.27,6.28,1.07,1.73,2.0,1.29,1.3,1.8,11.0,11.0,19.0,41.0,8.0,6.5,12.0,29.0,10.0,9.0,15.0,34.0,19.0,17.0,26.0,51.0,201.0,0.5,0.29411764705882354,0.2857142857142857,0.2826909129305421,0.5882352941176471,0.5714285714285714,1.7,0.9714285714285714,1.75,1.0294117647058825,1.5,1.4,0.10000000000000009,36.86989764584402,34.99202019855866,2.86240522611175,0.42857142857142855,0.4117647058823529,0.0285714285714286
ETTeRV57,JAPAN 2,ROUND 24,2025-08-02,06:30,Kofu,Montedio Yamagata,3.2,2.05,3.6,1.42,2.58,3.15,1.29,9.56,1.01,2.35,3.25,2.75,1.03,8.62,1.33,2.95,2.12,1.61,3.92,1.2,8.62,1.03,1.91,1.8,1.4,1.33,1.53,8.5,8.0,13.0,29.0,7.5,6.5,11.0,26.0,11.0,10.0,17.0,34.0,23.0,21.0,34.0,51.0,351.0,0.425531914893617,0.3076923076923077,0.36363636363636365,0.16200897315531354,0.7230769230769231,0.8545454545454546,1.3829787234042552,1.1818181818181819,1.1702127659574468,0.8461538461538461,0.3999999999999999,0.8999999999999999,0.5,11.309932474020211,24.22774531795417,-14.036243467926479,0.14545454545454542,0.2769230769230769,0.18181818181818182
