League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115,p_H,p_D,p_A,CV_Odds,H_D,H_A,D_H,D_A,A_H,A_D,DifAbs_HomeAway,DifAbs_HomeDraw,DifAbs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,DifPer_HomeAway,DifPer_HomeDraw,DifPer_DrawAway,Media_Ptos_H,CV_Ptos_H,Media_GM_H,CV_GM_H,Media_GS_H,CV_GS_H,Media_SG_H,CV_SG_H,Media_SG_H_01,CV_SG_H_01,Media_SG_H_02,CV_SG_H_02,Media_VG_H,CV_VG_H,Media_CG_H_00,CV_CG_H_00,Media_CG_H_01,CV_CG_H_01,Media_CG_H_02,CV_CG_H_02,Media_Ptos_A,CV_Ptos_A,Media_GM_A,CV_GM_A,Media_GS_A,CV_GS_A,Media_SG_A,CV_SG_A,Media_SG_A_01,CV_SG_A_01,Media_SG_A_02,CV_SG_A_02,Media_VG_A,CV_VG_A,Media_CG_A_00,CV_CG_A_00,Media_CG_A_01,CV_CG_A_01,Media_CG_A_02,CV_CG_A_02
JAPAN 2,2025-08-03,07:00:00,24,Roasso Kumamoto,Mito Hollyhock,3.5,2.15,2.8,2.98,3.14,2.15,1.36,2.9,2.88,1.4,7.5,1.08,1.02,7.9,1.27,3.14,1.94,1.76,1.75,2.0,1.6,1.33,1.36,1.15,1.73,1.39,1.3,2.69,1.77,8.05,2.44,1.26,3.32,1.49,2.44,1.82,1.93,2.29,1.58,2.9,1.36,0.33557046979865773,0.3184713375796178,0.46511627906976744,0.1927852136197412,0.9490445859872612,1.386046511627907,1.0536912751677854,1.4604651162790698,0.7214765100671141,0.6847133757961783,0.8300000000000001,0.16000000000000014,0.9900000000000002,-22.53845004082809,4.573921259900866,-26.335410003881353,0.38604651162790704,0.0509554140127389,0.4604651162790699,1.4,1.0832679205787932,1.6,0.3423265984407285,1.6,0.7126096406869611,0.0,1.0,0.17799999999999985,24.60220059685318,-0.21999999999999983,-16.49232854470365,0.6399829617584551,0.43445359891844054,0.2905788605526312,0.4472611663195395,4.029999999999999,0.4243248733290566,1.0072709776926767,0.2750064515755007,2.0,0.7071067811865476,1.2,0.6972166887783964,0.6,1.4907119849998594,0.6,1.900292375165229,1.3960000000000004,1.8010069054145197,1.7180000000000006,1.9944123653167982,0.4369098465538518,0.7753011916450483,0.4727233453941979,0.686537491395183,2.8099999999999996,0.7667201768155713,0.8292144199194101,0.4784137865269353
CHINA 1,2025-08-03,08:00:00,19,Dalian Zhixing,Qingdao Jonoon,2.22,2.11,5.55,1.65,3.74,5.25,1.38,2.81,2.88,1.36,7.7,1.02,1.02,10.0,1.25,3.28,1.94,1.83,1.88,1.82,1.14,1.26,2.19,1.53,0.58,1.4,1.29,2.69,1.44,9.0,3.6,1.2,3.9,1.36,2.8,1.6,2.16,1.95,1.74,2.45,1.47,0.6060606060606061,0.267379679144385,0.19047619047619047,0.5097096613647566,0.4411764705882352,0.3142857142857143,2.266666666666667,0.7123809523809524,3.181818181818182,1.4037433155080212,3.6,2.0900000000000003,1.5099999999999998,60.94539590092286,46.26058388589534,37.052804540912,0.6857142857142857,0.5588235294117647,0.28761904761904755,1.8,0.9128709291752769,0.8,1.045825033167594,1.0,1.4142135623730951,-0.2,-10.839741694339402,-2.6480000000000006,-3.416264460498717,0.5360000000000006,7.944800093054636,0.3261617643216775,1.2593249349154403,0.6378890865441578,0.5741909099637773,2.008,1.2203908552679312,0.5834034100175762,0.7847964627546309,0.2,2.2360679774997894,0.4,1.3693063937629135,2.2,0.5926547641093316,-1.8,-0.82402205412174,-9.453999999999999,-0.801027875558931,-3.044,-0.9475642410703656,0.33908045977011503,1.3696341593787742,0.6392344497607656,0.7728379499600279,4.1,1.3754021638899208,0.2910577585817861,0.8134989229526519
CHINA 2,2025-08-03,08:00:00,19,Suzhou Dongwu,Dalian Huayi,2.75,2.07,3.6,1.95,3.2,3.7,1.4,2.55,2.95,1.32,7.7,1.06,1.04,6.9,1.33,2.85,2.16,1.61,1.91,1.82,1.36,1.28,1.73,1.25,1.0,1.43,1.07,2.5,0.0,0.0,0.0,1.52,2.31,1.91,1.81,3.12,1.45,3.47,1.22,5.21,1.08,0.5128205128205129,0.3125,0.27027027027027023,0.30555519283593124,0.609375,0.527027027027027,1.6410256410256412,0.8648648648648649,1.8974358974358976,1.15625,1.7500000000000002,1.2500000000000002,0.5,41.18592516570965,32.0053832080835,14.036243467926479,0.472972972972973,0.39062500000000006,0.13513513513513511,0.6,0.9128709291752765,0.2,2.2360679774997902,1.2,1.3693063937629153,-1.0,-1.7320508075688772,-1.8800000000000001,-1.798470251830141,-3.9200000000000004,-1.6396533598166967,0.09302325581395349,2.236067977499788,0.8666666666666666,0.34401045807689085,0.5999999999999999,2.236067977499784,0.3540619113520163,0.532243260621283,1.0,1.224744871391589,1.6,0.9478594305064437,1.6,0.7126096406869611,0.0,1.0,0.9320000000000007,8.853922262773974,-1.0059999999999998,-6.603808491362813,0.857591055588831,0.9026455930712534,0.326784150922082,1.1856196465982167,6.980000000000001,0.8505010435175403,0.9366129039450273,0.787998434433097
ENGLAND 3,2025-08-03,08:00:00,1,Stockport County,Bolton Wanderers,2.5,2.25,4.33,1.67,3.52,4.2,1.36,3.0,2.75,1.4,7.0,1.1,1.05,9.5,1.28,3.5,1.81,1.89,1.75,2.0,1.24,1.28,1.87,3.0,0.0,0.0,0.0,0.0,1.73,6.25,2.38,1.3,3.05,1.54,2.3,1.9,1.79,2.4,1.49,3.15,1.3,0.5988023952095809,0.2840909090909091,0.23809523809523808,0.4183107977162443,0.4744318181818182,0.3976190476190476,2.1077844311377247,0.8380952380952381,2.51497005988024,1.1931818181818181,2.5300000000000002,1.85,0.6800000000000002,51.67314168051262,42.76882539196875,18.778033222445544,0.6023809523809525,0.5255681818181819,0.16190476190476194,2.6,0.34401045807689073,2.2,0.380300012060943,1.0,0.7071067811865467,1.2,0.6972166887783964,2.1499999999999995,0.6497160006938391,5.234000000000002,0.766041519000872,0.5202960936195358,0.32275870756909414,0.29543513753786543,0.5388917940268724,4.005999999999999,0.3764532242477709,1.376211736928647,0.3053260492072332,0.8,1.6298006013006612,1.0,0.7071067811865478,2.2,0.8131156281817417,-1.2,-1.3693063937629155,-3.7620000000000005,-1.265901903931085,-2.687999999999999,-1.5287811375383495,0.381319090247069,0.7082851229901471,0.48216847717865186,0.6310440726800727,2.524,0.7350198166489518,0.6839777318644986,0.5553948219324242
GERMANY 3,2025-08-03,08:30:00,1,Erzgebirge Aue,Hansa Rostock,3.45,2.05,2.88,3.0,3.3,2.3,1.38,2.8,2.65,1.42,6.6,1.05,1.06,8.5,1.3,3.45,1.85,1.9,1.65,2.05,1.6,1.25,1.36,1.0,1.0,0.0,0.0,0.0,2.62,8.6,1.61,1.15,4.08,1.3,3.1,1.55,2.2,1.95,1.71,2.55,1.42,0.3333333333333333,0.30303030303030304,0.4347826086956522,0.1790093525388448,0.9090909090909092,1.3043478260869565,1.0999999999999999,1.434782608695652,0.7666666666666666,0.6969696969696969,0.7000000000000002,0.2999999999999998,1.0,-19.29004621918874,8.530765609948128,-26.56505117707799,0.3043478260869566,0.09090909090909086,0.4347826086956522,2.0,0.7071067811865476,1.4,0.6388765649999399,1.0,1.2247448713915894,0.4,2.2360679774997894,0.9920000000000002,1.9694237342972498,1.02,2.6889924707029427,0.46906201996927804,0.615342211102751,0.42001630812466645,0.7892882676863109,3.0660000000000003,0.6154176206144791,0.9141339551834898,0.5240135931582687,1.4,1.083267920578793,1.2,1.0865337342004415,1.2,1.4907119849998596,0.0,1.0,-1.3820000000000001,-6.256435215484197,0.8139999999999997,8.4808574864969,0.3777886443901114,1.2310395499943754,0.5977636477269639,0.6672598606872755,2.45,1.1672898516082617,0.8240956631251606,0.8266818376290243
BELGIUM 1,2025-08-03,08:30:00,2,KRC Genk,Royal Antwerp FC,2.1,2.4,5.0,1.57,3.85,4.5,1.29,3.5,2.38,1.53,5.5,1.14,1.03,11.0,1.2,4.5,1.7,2.02,1.67,2.1,1.18,1.22,2.2,1.0,1.0,0.0,0.0,0.0,1.54,6.25,2.8,1.3,3.05,1.54,2.3,1.89,1.8,2.4,1.5,3.05,1.3,0.6369426751592356,0.2597402597402597,0.2222222222222222,0.4653361639852279,0.4077922077922078,0.3488888888888889,2.4522292993630574,0.8555555555555556,2.8662420382165603,1.1688311688311688,2.9299999999999997,2.2800000000000002,0.6499999999999999,55.68279496109193,48.74298829568714,18.00416160591338,0.6511111111111111,0.5922077922077923,0.14444444444444443,0.8,1.629800601300662,0.8,1.045825033167596,1.4,0.3912303982179758,-0.6,-1.90029237516523,-1.626,-1.8219997036433442,-1.722000000000002,-1.9796610835976596,0.23650701060773,1.0776092694348383,0.6632861398091199,0.504618495748066,1.552,1.0448222034724177,0.654904946656967,0.662869038557145,1.8,0.6085806194501846,1.2,0.9128709291752768,0.4,1.369306393762913,0.8,1.6298006013006612,2.5140000000000002,1.4092871619348475,1.7600000000000002,1.7798199094638625,0.6663413516816141,0.6719361460861251,0.3342434162419988,1.1207687670966853,5.093999999999999,0.6427200397867598,0.7190210979752237,0.8132589599966099
GERMANY 2,2025-08-03,08:30:00,1,Hannover 96,Kaiserslautern,2.5,2.38,4.0,1.92,3.8,3.51,1.3,3.4,2.38,1.53,6.0,1.13,1.04,10.0,1.2,4.33,1.57,2.25,1.62,2.2,1.25,1.3,1.8,3.0,0.0,0.0,0.0,0.0,1.68,8.5,2.7,1.2,3.85,1.39,2.75,1.65,2.15,2.04,1.73,2.55,1.45,0.5208333333333334,0.2631578947368421,0.2849002849002849,0.3289738703651243,0.5052631578947369,0.5470085470085471,1.9791666666666667,1.0826210826210827,1.828125,0.9236842105263158,1.5899999999999999,1.88,0.29000000000000004,38.48469944870402,43.22853025996592,-8.250387228905499,0.452991452991453,0.49473684210526314,0.08262108262108264,1.6,0.8385254915624211,0.8,0.559016994374947,0.8,1.629800601300662,0.0,1.0,0.1480000000000004,19.05156203753702,-0.15599999999999997,-25.19861113806298,0.26367709706573583,0.5979577356457537,0.5643852700883389,0.45465752573478957,1.8259999999999998,0.6205280867260612,0.6256708959137346,0.3704692563007655,0.2,2.236067977499792,0.4,2.2360679774997894,2.2,0.4979295977319691,-1.8,-0.8240220541217405,-7.074000000000001,-1.0548793933839784,-3.472,-0.7318343790269243,0.16666666666666669,2.2360679774997876,0.8343642611683849,0.44389817345753674,1.1640000000000001,2.236067977499788,0.3496748816901601,1.317217954572793
GERMANY 2,2025-08-03,08:30:00,1,Greuther Fürth,Dynamo Dresden,2.75,2.4,3.4,2.09,3.74,3.08,1.29,3.5,2.25,1.57,5.5,1.14,1.04,10.0,1.2,4.5,1.62,2.15,1.53,2.38,1.34,1.27,1.7,3.0,0.0,0.0,0.0,0.0,1.94,7.5,2.28,1.24,3.52,1.45,2.57,1.74,2.01,2.18,1.64,2.73,1.4,0.47846889952153115,0.267379679144385,0.3246753246753247,0.2796234976026204,0.5588235294117646,0.6785714285714285,1.7894736842105265,1.2142857142857144,1.473684210526316,0.8235294117647058,0.9900000000000002,1.6500000000000004,0.6600000000000001,26.335410003881353,39.52263127117113,-18.262889942194132,0.3214285714285715,0.44117647058823534,0.21428571428571433,1.6,0.8385254915624211,2.0,0.7071067811865476,1.8,0.46481112585226475,0.2,4.183300132670378,0.518,3.782168120900642,0.374,6.5997733018138085,0.7915179395654457,0.6998239511568731,0.33756332958388774,1.1128637454681585,5.176,0.6595100799472702,1.1956797330141915,0.595845732141298,1.4,1.0832679205787932,2.0,0.7905694150420947,1.6,0.5590169943749475,0.4,4.183300132670378,0.8899999999999999,4.979328560663174,1.3299999999999996,3.3639916164028527,0.7434136330641001,0.798862435950789,0.35096184377230133,1.0545331837041836,5.044,0.7840210908079688,1.2063068297288013,0.6673362294441804
CHINA 2,2025-08-03,08:30:00,19,Dongguan United,Nantong Zhiyun,4.44,1.97,2.75,3.6,3.2,2.03,1.45,2.49,3.22,1.28,8.4,1.01,1.03,7.5,1.37,2.8,2.22,1.58,1.95,1.76,1.26,1.28,1.2,1.1,1.2,0.92,1.1,2.02,0.0,0.0,0.0,1.41,2.59,1.61,2.16,2.31,1.72,2.51,1.44,4.31,1.13,0.2777777777777778,0.3125,0.4926108374384237,0.2771903343204395,1.125,1.7733990147783254,0.888888888888889,1.576354679802956,0.5638888888888888,0.6343749999999999,1.5700000000000003,0.3999999999999999,1.1700000000000004,-38.13191367560172,-11.309932474020211,-30.32763411913386,0.7733990147783253,0.12499999999999997,0.5763546798029558,1.2,0.9128709291752767,1.2,0.6972166887783969,1.4,0.39123039821797595,-0.2,-5.47722557505166,-2.2399999999999993,-2.9283808735914683,-0.020000000000000018,-90.16651263079858,0.5396427040826739,0.59754599299248,0.3662357016943874,0.9738544341036971,3.9799999999999995,0.5962772652941234,0.7357092982294532,0.6394476320777697,1.4,1.083267920578793,1.0,0.7071067811865478,1.2,0.9128709291752768,-0.2,-6.519202405202648,-0.6519999999999999,-5.41560268977534,-0.43199999999999994,-7.507308824427194,0.3657767151491001,0.708361227961769,0.4851135875994414,0.6263203259333936,2.4440000000000013,0.6797355187431194,0.7006595605981397,0.5240271752550276
CHINA 2,2025-08-03,08:30:00,19,Qingdao Red Lions,Heilongjiang Lava Spring,4.49,1.72,2.75,3.4,3.0,2.0,1.49,2.38,3.5,1.24,10.0,1.03,1.06,7.7,1.4,2.63,2.37,1.52,2.1,1.72,1.32,1.28,1.25,0.33,1.11,1.25,0.85,2.1,0.0,0.0,0.0,1.44,2.52,1.78,1.93,2.78,1.54,3.1,1.28,4.51,1.12,0.29411764705882354,0.3333333333333333,0.5,0.25753937681885636,1.1333333333333333,1.7,0.8823529411764706,1.5,0.5882352941176471,0.6666666666666666,1.4,0.3999999999999999,1.0,-34.99202019855866,-11.309932474020211,-26.56505117707799,0.7,0.1333333333333333,0.5,0.2,2.2360679774997845,0.8,1.629800601300662,2.0,0.6123724356957946,-1.2,-0.6972166887783964,-4.334,-0.659946074357817,-2.782,-0.9080897207223723,0.5318248287539444,1.720213199702458,0.6552903999128254,0.7269165079645543,5.074,1.7938074392978165,0.5408537634446847,1.124022067028376,1.8,0.6085806194501843,1.2,0.3726779962499648,0.6,0.9128709291752737,0.6,1.49071198499986,1.7740000000000002,1.3802404214343256,1.6859999999999995,1.7465318985109475,0.6020753870480452,0.07088119361832913,0.22781783370804565,0.1410774423801167,4.456,0.13254450629893402,0.7389089168540227,0.38718304624758393
