League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Romanian Liga II,2024-12-10,12:00:00,Csikszereda,FC Metaloglobus Bucuresti,1.25,80.0,1.64,80.0,1.32,80.0,1.15,1000.0,1.01,10.5,1.02,20.0,1.02,20.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,980.0,1.01,980.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33842325,8886239.0,10805935.0,58805.0,1.23684929,1.236849335,1.236849374,1.236849299,1.2,1000.0,1.01,20.0,1.15,110.0,1.01,990.0,1.15,1000.0,1.01,9.4,1.01,2.6,1.01,5.2,1.01,4.3,1.236849291,1.236849293,1.236849294,1.236849338
UEFA Champions League,2024-12-10,14:45:00,Dinamo Zagreb,Celtic,3.95,4.0,2.06,2.08,3.8,3.85,2.24,2.28,1.79,1.8,1.7,1.71,2.4,2.44,17.0,18.0,11.0,11.5,12.5,13.5,21.0,23.0,17.0,17.5,8.2,8.4,11.0,12.0,18.0,18.5,28.0,29.0,15.0,15.5,15.5,16.0,28.0,29.0,60.0,70.0,38.0,40.0,42.0,46.0,65.0,75.0,32.0,36.0,11.0,11.5,280.0,1000.0,33823869,52628041.0,52495022.0,58805.0,1.236530751,1.23653069,1.23653075,1.236530761,3.55,3.65,1.38,1.39,17.0,18.5,1.05,1.06,4.8,5.0,1.25,1.27,1.94,1.95,1.33,1.34,1.35,1.36,1.236530753,1.236530755,1.236530756,1.236530694
UEFA Champions League,2024-12-10,14:45:00,Girona,Liverpool,7.4,7.6,1.48,1.49,5.1,5.2,2.7,2.74,1.58,1.59,1.76,1.82,2.22,2.3,25.0,27.0,11.0,11.5,9.6,9.8,13.0,13.5,30.0,34.0,11.5,12.0,9.6,10.0,12.5,13.0,60.0,70.0,25.0,27.0,19.5,20.0,27.0,28.0,160.0,210.0,80.0,85.0,70.0,75.0,75.0,85.0,85.0,100.0,5.1,5.3,340.0,900.0,33823865,968185.0,56323.0,58805.0,1.236531174,1.236531113,1.236531173,1.236531184,4.1,4.4,1.29,1.32,26.0,27.0,1.03,1.04,6.0,6.4,1.19,1.2,3.05,3.1,1.15,1.16,1.23,1.25,1.236531176,1.236531178,1.236531179,1.236531117
Bolivian Liga de Futbol Profesional,2024-12-10,16:00:00,San Antonio FC,Bolivar,4.4,5.2,1.68,1.77,4.3,5.0,2.66,2.88,1.53,1.59,1.61,1.74,2.36,2.62,4.7,32.0,10.5,15.5,10.5,15.5,4.3,21.0,19.0,32.0,8.6,12.5,8.6,11.5,12.5,85.0,4.9,50.0,14.0,23.0,14.5,980.0,4.9,150.0,5.1,900.0,5.0,280.0,5.0,280.0,5.0,580.0,4.7,300.0,6.2,7.6,5.2,500.0,33855352,10992747.0,329419.0,58805.0,1.237021596,1.237021641,1.23702168,1.237021605,4.1,4.4,1.29,1.33,6.0,36.0,1.03,1.05,5.6,36.0,1.17,1.2,2.28,2.48,1.24,1.28,1.25,1.29,1.237021597,1.237021599,1.2370216,1.237021644
English National League,2024-12-10,16:45:00,Solihull Moors,Aldershot,1.89,1.95,3.9,4.4,4.1,4.3,2.3,2.52,1.66,1.76,1.64,1.74,2.36,2.58,17.0,20.0,10.0,21.0,30.0,34.0,10.5,900.0,11.5,21.0,9.0,9.8,15.0,16.5,10.0,44.0,11.5,80.0,9.6,10.5,15.0,16.0,14.5,46.0,20.0,180.0,16.0,18.0,24.0,27.0,28.0,70.0,6.8,9.8,29.0,34.0,18.0,1000.0,33831211,2437395.0,62504.0,58805.0,1.236648105,1.23664815,1.236648189,1.236648114,3.9,4.2,1.31,1.34,13.5,26.0,1.04,1.06,5.1,6.4,1.21,1.24,1.3,1.34,2.04,2.14,1.3,1.32,1.236648106,1.236648108,1.236648109,1.236648153
English National League,2024-12-10,16:45:00,Forest Green,Dag and Red,1.4,1.6,4.8,9.8,3.6,6.4,1.22,980.0,1.01,6.4,1.02,20.0,1.02,20.0,1.14,980.0,4.2,980.0,4.2,1000.0,4.2,1000.0,1.1,980.0,1.11,980.0,4.2,980.0,4.2,1000.0,1.14,1000.0,1.11,980.0,1.14,980.0,4.2,1000.0,1.13,180.0,1.12,70.0,1.14,1000.0,1.14,1000.0,1.12,85.0,1.55,1000.0,1.14,1000.0,33831213,36033.0,66244.0,58805.0,1.236647925,1.23664797,1.236648009,1.236647934,1.2,1000.0,1.01,20.0,1.22,110.0,1.01,55.0,1.22,1000.0,1.01,6.4,1.12,1.15,2.66,3.6,1.2,1.37,1.236647926,1.236647928,1.236647929,1.236647973
English National League,2024-12-10,16:45:00,Wealdstone,Altrincham,2.86,3.15,2.46,2.66,3.5,3.8,1.97,2.14,1.89,2.04,1.71,1.91,2.08,2.42,4.1,980.0,3.85,980.0,4.2,95.0,4.8,140.0,4.1,980.0,7.0,14.0,10.0,14.0,4.7,160.0,4.3,110.0,4.1,980.0,13.5,980.0,4.8,210.0,5.1,900.0,4.9,180.0,4.8,55.0,4.9,580.0,4.5,32.0,15.0,24.0,5.1,1000.0,33831212,2608900.0,62505.0,58805.0,1.236648015,1.23664806,1.236648099,1.236648024,3.2,3.55,1.4,1.44,1.27,26.0,1.06,1.08,3.85,4.6,1.29,1.34,1.6,1.67,1.47,1.54,1.36,1.4,1.236648016,1.236648018,1.236648019,1.236648063
English Championship,2024-12-10,16:45:00,Sunderland,Bristol City,1.95,1.97,4.7,4.8,3.6,3.65,1.79,1.81,2.22,2.26,1.99,2.06,1.95,2.02,10.5,11.5,14.0,14.5,29.0,32.0,80.0,110.0,7.4,7.8,7.4,7.8,17.0,18.0,55.0,65.0,10.0,11.0,9.8,10.5,19.5,22.0,60.0,80.0,20.0,22.0,20.0,23.0,36.0,44.0,50.0,130.0,15.5,16.5,70.0,85.0,60.0,700.0,33851119,62783.0,69745.0,58805.0,1.236945687,1.236945697,1.236945686,1.236945696,2.88,2.98,1.5,1.53,10.5,12.0,1.09,1.11,3.4,3.5,1.4,1.42,1.26,1.28,2.02,2.06,1.37,1.39,1.236945678,1.23694569,1.236945691,1.236945701
English Championship,2024-12-10,16:45:00,Burnley,Derby,1.75,1.76,6.4,6.6,3.6,3.65,1.57,1.59,2.7,2.76,2.46,2.56,1.64,1.69,8.4,8.8,13.5,14.5,46.0,48.0,200.0,220.0,5.5,5.7,7.8,8.2,25.0,27.0,120.0,140.0,8.0,8.2,10.0,11.0,30.0,32.0,150.0,170.0,16.5,17.5,22.0,24.0,60.0,65.0,65.0,280.0,16.5,17.5,48.0,240.0,1000.0,1000.0,33850973,56299.0,48325.0,58805.0,1.236943858,1.236943868,1.236943857,1.236943867,2.48,2.58,1.63,1.67,8.6,9.2,1.12,1.14,2.74,2.82,1.55,1.57,1.17,1.19,2.3,2.34,1.37,1.39,1.236943849,1.236943861,1.236943862,1.236943872
English Championship,2024-12-10,16:45:00,Sheff Wed,Blackburn,2.4,2.42,3.35,3.4,3.4,3.5,1.77,1.79,2.26,2.3,1.92,2.0,2.0,2.08,10.0,11.0,10.5,11.0,20.0,22.0,50.0,65.0,8.4,8.6,7.0,7.2,13.5,15.0,38.0,44.0,13.0,14.0,11.0,11.5,18.5,19.5,55.0,65.0,29.0,32.0,26.0,28.0,44.0,48.0,100.0,130.0,23.0,25.0,42.0,48.0,60.0,1000.0,33851133,47992.0,48350.0,58805.0,1.236945147,1.236945157,1.236945146,1.236945156,2.8,2.92,1.53,1.55,10.5,11.0,1.1,1.11,3.3,3.4,1.41,1.43,1.41,1.43,1.7,1.72,1.4,1.42,1.236945138,1.23694515,1.236945151,1.236945161
English Championship,2024-12-10,16:45:00,Portsmouth,Norwich,3.45,3.5,2.28,2.3,3.6,3.65,2.02,2.04,1.97,1.98,1.79,1.81,2.24,2.28,13.5,14.5,9.8,10.5,13.0,14.0,27.0,30.0,13.0,13.5,7.6,7.8,10.0,11.0,22.0,24.0,20.0,24.0,13.5,14.5,16.0,17.5,32.0,38.0,50.0,65.0,32.0,38.0,42.0,48.0,70.0,90.0,32.0,36.0,16.0,17.5,60.0,1000.0,33851128,58344.0,47998.0,58805.0,1.236945363,1.236945373,1.236945362,1.236945372,3.1,3.25,1.45,1.48,13.5,15.0,1.07,1.08,4.0,4.2,1.32,1.34,1.76,1.79,1.4,1.41,1.37,1.39,1.236945354,1.236945366,1.236945367,1.236945377
