Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4,Goals_H_HT,Goals_A_HT,Goals_H_FT,Goals_A_FT,Goals_Min_H,Goals_Min_A,xG_H,xG_A
MBGYokKt,AUSTRALIA 1,ROUND 9,2024-12-23,05:00,Macarthur FC,Central Coast Mariners,2.5,2.3,4.0,1.3,3.4,2.5,1.5,6.0,1.13,1.9,3.7,3.8,1.04,13.0,1.2,4.5,1.67,2.2,2.63,1.5,4.5,1.2,1.62,2.2,1.25,1.29,1.91,15.0,15.0,21.0,41.0,9.5,7.5,13.0,29.0,10.0,8.5,13.0,29.0,17.0,13.0,21.0,41.0,151.0,1,0,1,1,[11],[53],1.71,0.59
KOZF87Fs,GREECE 2,ROUND 14,2024-12-23,09:00,PAE Chania,PAE Egaleo,2.15,2.12,5.5,1.4,2.5,0.0,0.0,0.0,0.0,1.6,3.6,5.4,0.0,0.0,1.35,2.72,2.02,1.62,3.3,1.24,0.0,0.0,2.02,1.62,1.14,1.24,2.27,8.5,12.5,30.0,110.0,5.6,7.1,18.0,65.0,6.6,8.5,19.5,70.0,11.25,14.5,35.0,110.0,101.0,1,0,3,0,"[33, 57, 62]",[],0,0
6LeygWkJ,EGYPT 2,ROUND 14,2024-12-23,09:30,Abu Qir Semad,Asyut Petroleum,2.77,1.82,4.6,1.57,2.02,0.0,0.0,0.0,0.0,2.0,2.8,3.95,0.0,0.0,1.57,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,1.35,1.75,5.4,6.7,15.5,50.0,4.25,5.1,11.75,37.0,6.6,8.0,16.5,50.0,14.5,17.5,37.0,110.0,0.0,0,0,0,0,[],[],0,0
WvPu4dbK,EGYPT 2,ROUND 14,2024-12-23,09:30,Al-Sekka,WE SC,4.05,1.72,3.3,1.65,1.9,0.0,0.0,0.0,0.0,3.2,2.55,2.47,0.0,0.0,1.7,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.42,1.29,4.65,4.45,8.25,21.0,5.3,4.8,9.0,24.0,11.75,10.5,17.0,45.0,35.0,32.0,50.0,120.0,0.0,0,0,0,0,[],[],0,0
I92MGZsQ,EGYPT 2,ROUND 14,2024-12-23,09:30,El Mansoura,Aswan SC,4.5,1.7,3.15,1.7,1.85,0.0,0.0,0.0,0.0,3.6,2.5,2.32,0.0,0.0,1.75,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,1.42,1.24,4.45,4.2,7.7,19.5,5.5,4.8,8.75,22.0,13.5,11.75,18.0,45.0,45.0,40.0,60.0,120.0,0.0,0,0,0,0,[],[],0,0
2svgBD5m,EGYPT 2,ROUND 14,2024-12-23,09:30,Raya,Dayrout,2.7,1.8,4.9,1.6,1.98,0.0,0.0,0.0,0.0,1.98,2.75,4.15,0.0,0.0,1.62,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.35,1.75,5.1,6.5,16.0,55.0,4.15,5.1,13.0,45.0,6.5,8.0,17.5,60.0,14.0,17.5,37.0,120.0,0.0,0,1,1,1,[90],[32],0,0
xt4KdEjf,EGYPT 2,ROUND 14,2024-12-23,09:30,Tanta,Arab Contractors,3.8,1.75,3.4,1.62,1.95,0.0,0.0,0.0,0.0,3.0,2.57,2.57,0.0,0.0,1.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,1.42,1.36,5.0,4.8,9.0,23.0,5.3,4.75,9.0,24.0,11.0,9.75,15.5,40.0,32.0,28.0,45.0,100.0,0.0,1,2,3,5,"[43, 54, 66]","[24, 26, 57, 90, 90]",0,0
AgQ1Yh2l,GREECE 1,ROUND 16,2024-12-23,10:00,Asteras Tripolis,Aris,3.6,1.95,3.4,1.53,2.38,3.5,1.29,11.0,1.05,2.9,3.0,2.7,1.08,8.0,1.4,2.75,2.35,1.57,4.33,1.2,10.0,1.06,1.95,1.8,1.44,1.36,1.4,7.0,7.5,12.0,26.0,7.5,5.5,11.0,23.0,13.0,11.0,15.0,41.0,29.0,26.0,41.0,51.0,401.0,0,1,2,1,"[59, 76]",[30],0,0
ETL81WR0,SERBIA 1,ROUND 20,2024-12-23,10:30,OFK Beograd,TSC,3.1,2.25,2.92,1.33,3.05,2.42,1.5,5.1,1.13,2.55,3.5,2.37,1.04,8.5,1.22,3.85,1.65,2.1,2.6,1.44,4.35,1.18,1.57,2.25,1.57,1.26,1.5,8.5,10.25,13.5,25.0,10.5,7.1,9.25,17.5,14.5,9.75,12.5,23.0,29.0,19.5,25.0,45.0,300.0,1,1,2,2,"[34, 87]","[7, 56]",0,0
EXJn5UtS,ROMANIA 1,ROUND 21,2024-12-23,12:00,UTA Arad,FC Botosani,2.88,2.05,4.0,1.44,2.63,3.4,1.3,10.0,1.06,2.15,3.0,3.4,1.07,9.0,1.36,3.0,2.15,1.67,3.75,1.25,9.0,1.07,1.83,1.83,1.3,1.36,1.67,8.0,9.5,17.0,41.0,7.0,6.0,13.0,29.0,10.0,9.5,15.0,41.0,21.0,19.0,29.0,51.0,301.0,1,0,2,0,"[42, 77]",[],1.46,1.29
vZHIUA1D,GREECE 1,ROUND 16,2024-12-23,13:00,OFI Crete,Volos,2.88,2.05,4.0,1.44,2.63,3.25,1.33,10.0,1.06,2.15,3.2,3.6,1.07,9.0,1.33,3.25,2.1,1.7,3.75,1.25,8.0,1.08,1.91,1.91,1.29,1.36,1.67,8.5,9.5,17.0,41.0,7.0,6.0,13.0,29.0,10.0,9.0,15.0,41.0,21.0,19.0,29.0,51.0,301.0,2,0,4,0,"[33, 41, 64, 90]",[],0,0
Cp32a0ID,CYPRUS 1,ROUND 15,2024-12-23,14:00,Achnas,APOEL,4.75,2.25,2.2,1.36,3.0,2.5,1.5,5.5,1.13,4.8,3.85,1.65,1.05,8.75,1.23,3.85,1.7,2.07,2.67,1.44,4.6,1.17,1.7,2.05,2.22,1.25,1.2,8.75,7.5,9.0,14.0,14.0,7.8,8.5,13.5,32.0,16.0,15.5,24.0,90.0,45.0,45.0,65.0,450.0,1,0,2,2,"[5, 90]","[70, 90]",0,0
W2ezYj33,TURKEY 1,ROUND 17,2024-12-23,14:00,Basaksehir,Kasimpasa,2.88,2.25,3.4,1.33,3.25,2.63,1.44,6.5,1.11,2.2,3.4,2.9,1.04,13.0,1.22,4.0,1.8,2.0,2.75,1.4,5.5,1.14,1.62,2.2,1.4,1.3,1.67,13.0,12.0,17.0,29.0,9.5,7.0,11.0,21.0,12.0,9.5,12.0,26.0,21.0,17.0,23.0,41.0,151.0,2,1,2,2,"[9, 42]","[3, 68]",3.66,1.43
ltc7UHdB,TURKEY 1,ROUND 17,2024-12-23,14:00,Hatayspor,Adana Demirspor,1.91,2.6,6.0,1.29,3.5,2.25,1.57,5.5,1.14,1.4,4.75,5.5,1.02,19.0,1.17,5.0,1.53,2.4,2.25,1.57,4.0,1.22,1.73,2.0,1.13,1.17,2.63,19.0,19.0,34.0,67.0,9.0,10.0,17.0,41.0,8.0,8.5,17.0,41.0,10.0,11.0,21.0,51.0,201.0,1,0,1,3,[26],"[61, 70, 75]",2.15,1.10
xx0JSluQ,TURKEY 2,ROUND 17,2024-12-23,14:00,Amedspor,Umraniyespor,2.4,2.2,4.5,1.4,2.75,2.75,1.4,8.0,1.08,1.8,3.6,4.1,1.05,11.0,1.29,3.5,1.93,1.88,3.25,1.33,6.5,1.11,1.8,1.91,1.22,1.29,1.95,11.0,12.0,21.0,41.0,7.5,7.0,13.0,34.0,8.5,8.5,15.0,41.0,15.0,15.0,26.0,51.0,251.0,2,0,2,0,"[2, 45]",[],1.41,0.25
fgbkh83D,TURKEY 2,ROUND 17,2024-12-23,14:00,Genclerbirligi,Adanaspor AS,2.05,2.25,7.0,1.4,2.75,2.75,1.4,8.0,1.08,1.48,4.2,6.5,1.05,11.0,1.29,3.5,1.95,1.85,3.4,1.3,6.5,1.11,2.1,1.67,1.11,1.22,2.63,10.0,15.0,34.0,81.0,6.5,8.0,21.0,51.0,6.5,8.5,21.0,51.0,9.5,13.0,29.0,67.0,351.0,0,1,0,2,[],"[12, 67]",0.67,1.36
8tQOWP9C,ISRAEL 2,ROUND 16,2024-12-23,14:00,Hapoel Kfar Saba,Hap. Ramat Gan,4.35,2.2,2.3,1.41,2.7,2.5,1.48,0.0,0.0,4.1,3.6,1.75,0.0,0.0,1.22,3.9,1.7,2.04,2.7,1.41,0.0,0.0,1.62,2.02,2.02,1.24,1.2,12.5,8.0,9.0,14.5,13.5,7.2,8.0,13.0,25.0,13.5,13.5,22.0,65.0,35.0,37.0,55.0,350.0,1,2,2,2,"[45, 71]","[34, 36]",0,0
QcOdIoCG,ISRAEL 2,ROUND 16,2024-12-23,14:00,Hapoel Tel Aviv,H. Ironi Rishon,1.93,2.22,6.7,0.0,0.0,2.6,1.44,0.0,0.0,1.42,4.1,7.2,0.0,0.0,1.25,3.55,1.79,1.92,2.95,1.35,3.7,1.19,1.98,1.65,1.09,1.19,2.8,10.25,17.0,45.0,175.0,6.3,8.25,23.0,90.0,6.3,8.25,20.0,80.0,9.25,12.0,29.0,110.0,900.0,1,0,3,0,"[1, 81, 84]",[],0,0
UVUmK7s4,ISRAEL 2,ROUND 16,2024-12-23,14:00,MS Kafr Qasim,Bnei Yehuda,3.45,2.02,3.0,1.44,2.6,2.55,1.39,0.0,0.0,3.0,3.0,2.37,0.0,0.0,1.32,3.1,1.99,1.73,3.4,1.27,0.0,0.0,1.7,1.91,1.55,1.33,1.38,8.5,7.4,11.25,25.0,9.25,5.9,9.25,21.0,16.0,10.5,13.0,30.0,40.0,25.0,32.0,60.0,450.0,0,1,0,1,[],[3],0,0
bLXImFs2,ITALY 1,ROUND 17,2024-12-23,14:30,Fiorentina,Udinese,2.1,2.3,5.5,1.36,3.0,2.63,1.44,7.0,1.1,1.57,4.0,5.75,1.05,11.0,1.25,4.0,1.8,2.0,3.0,1.4,5.5,1.14,1.8,1.95,1.14,1.22,2.3,12.0,15.0,29.0,51.0,7.5,7.5,17.0,41.0,7.5,8.0,17.0,41.0,12.0,13.0,23.0,51.0,251.0,1,0,1,2,[8],"[49, 57]",1.93,0.78
tAYNauY0,ISRAEL 1,ROUND 15,2024-12-23,15:00,Beitar Jerusalem,Ironi Tiberias,1.83,2.5,7.0,1.3,3.4,2.5,1.5,6.0,1.13,1.33,4.75,6.25,1.03,17.0,1.2,4.33,1.62,2.25,2.5,1.5,4.5,1.18,1.91,1.8,1.11,1.17,3.0,15.0,19.0,41.0,81.0,7.5,10.0,21.0,51.0,7.0,8.5,21.0,51.0,9.0,11.0,26.0,51.0,301.0,0,0,1,1,[69],[57],0,0
fiuMJTeL,ROMANIA 1,ROUND 21,2024-12-23,15:00,Poli Iasi,FCSB,7.0,2.25,2.0,1.4,2.75,2.75,1.4,8.0,1.08,6.25,4.2,1.42,1.05,11.0,1.29,3.5,1.98,1.88,3.4,1.3,6.5,1.11,2.2,1.62,2.63,1.2,1.11,10.0,6.0,6.5,9.5,15.0,8.5,8.5,13.0,34.0,21.0,23.0,29.0,81.0,51.0,51.0,81.0,1000.0,0,1,0,2,[],"[44, 76]",0.33,1.54
EujoR9md,PORTUGAL 1,ROUND 15,2024-12-23,15:45,Benfica,Estoril,1.44,3.25,13.0,1.2,4.33,1.98,1.83,4.0,1.22,1.13,8.0,19.0,1.01,23.0,1.1,7.0,1.33,3.4,1.83,1.83,3.0,1.36,2.1,1.67,1.02,1.08,6.0,21.0,41.0,81.0,301.0,10.0,15.0,41.0,126.0,7.0,11.0,29.0,81.0,7.0,11.0,29.0,81.0,451.0,1,0,3,0,"[28, 73, 90]",[],2.25,0.45
6FnwTVIq,PORTUGAL 1,ROUND 15,2024-12-23,15:45,Vitoria Guimaraes,Nacional,1.91,2.38,7.5,1.36,3.0,2.63,1.44,7.0,1.1,1.38,4.5,8.5,1.05,11.0,1.25,3.75,1.88,1.98,3.25,1.33,6.0,1.13,2.05,1.7,1.08,1.18,3.0,11.0,19.0,41.0,101.0,6.5,8.5,23.0,51.0,6.5,9.0,21.0,51.0,9.0,12.0,29.0,67.0,451.0,1,1,2,2,"[23, 48]","[10, 90]",1.20,0.53
dIvHrDcf,NETHERLANDS 2,ROUND 20,2024-12-23,16:00,Jong Ajax,Roda,3.25,2.5,2.63,1.25,3.75,2.2,1.62,5.0,1.17,3.0,3.75,2.15,1.02,19.0,1.13,6.0,1.48,2.6,2.1,1.67,3.5,1.29,1.4,2.75,1.67,1.25,1.36,21.0,13.0,15.0,21.0,17.0,8.0,9.5,15.0,19.0,12.0,11.0,19.0,34.0,21.0,21.0,29.0,81.0,2,1,3,1,"[5, 28, 90]",[8],0,0
88hk9y4b,ITALY 3,GROUP C,2024-12-23,16:30,Trapani,Foggia,2.18,2.12,5.7,1.4,2.75,2.65,1.42,5.7,1.1,1.6,3.4,5.6,1.06,7.3,1.26,3.6,1.83,1.91,3.0,1.35,5.0,1.13,1.8,1.91,1.15,1.26,2.3,7.3,15.0,37.0,120.0,6.8,6.8,17.5,60.0,7.7,7.8,15.0,55.0,12.5,12.5,24.0,70.0,500.0,0,0,0,0,[],[],0,0
pIkp4zSr,ITALY 1,ROUND 17,2024-12-23,16:45,Inter,Como,1.83,2.5,7.0,1.29,3.5,2.38,1.53,6.0,1.13,1.33,5.0,9.5,1.03,15.0,1.2,4.5,1.62,2.3,2.5,1.53,4.5,1.2,1.91,1.91,1.07,1.17,3.25,15.0,21.0,41.0,81.0,8.0,9.5,23.0,51.0,7.0,8.5,19.0,51.0,9.0,11.0,23.0,51.0,251.0,0,0,2,0,"[48, 90]",[],1.46,0.37
GrigDBI6,NORTHERN IRELAND 2,ROUND 22,2024-12-23,16:45,Dungannon,Larne,4.35,2.12,2.45,1.42,2.65,2.82,1.38,6.2,1.09,3.9,3.45,1.88,1.07,6.7,1.36,2.9,2.05,1.7,3.55,1.26,6.2,1.09,1.93,1.78,1.91,1.28,1.26,6.7,6.4,8.25,15.5,9.75,6.6,8.5,16.0,19.5,13.5,17.0,32.0,60.0,40.0,50.0,90.0,800.0,0,0,0,1,[],[51],0,0
n5KHkGPj,ENGLAND 3,ROUND 21,2024-12-23,17:00,Crawley,Birmingham,7.5,2.6,1.8,1.29,3.5,2.38,1.53,5.5,1.14,8.5,5.0,1.33,1.03,17.0,1.18,4.5,1.6,2.3,2.5,1.5,4.33,1.2,1.91,1.91,3.25,1.17,1.08,15.0,8.0,7.0,9.0,21.0,9.5,8.5,11.0,41.0,23.0,19.0,23.0,101.0,51.0,51.0,51.0,301.0,0,0,0,1,[],[79],0.15,0.79
nV56YieM,PORTUGAL 1,ROUND 15,2024-12-23,17:45,Estrela,Rio Ave,3.2,2.0,3.75,1.5,2.5,3.4,1.3,10.0,1.06,2.38,3.25,3.0,1.07,9.0,1.4,2.75,2.25,1.62,4.0,1.22,9.0,1.07,1.95,1.8,1.36,1.33,1.53,8.0,8.0,13.0,34.0,7.0,6.0,11.0,26.0,11.0,10.0,17.0,41.0,23.0,21.0,34.0,51.0,351.0,1,0,1,0,[36],[],0.70,0.82
4Kw1Kz4l,BOLIVIA 1,RELEGATION ,2024-12-23,19:00,Real Oruro,Royal Pari,2.5,2.63,3.4,1.2,4.33,2.03,1.78,4.0,1.22,1.8,4.2,3.1,1.02,21.0,1.14,5.5,1.48,2.6,2.2,1.62,3.75,1.25,1.5,2.5,1.33,1.2,1.83,21.0,17.0,23.0,41.0,11.0,8.5,13.0,26.0,11.0,9.0,13.0,26.0,17.0,13.0,19.0,34.0,101.0,3,0,3,0,"[9, 34, 38]",[],0,0
