Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
ImeNGTff,CHINA 1,ROUND 26,2025-09-27,07:00,Changchun Yatai,Qingdao Hainiu,3.25,2.2,3.1,1.36,3.0,2.75,1.4,8.0,1.08,2.7,3.4,2.45,1.05,11.0,1.29,3.5,1.9,1.9,3.25,1.33,6.5,1.11,1.7,2.05,1.5,1.3,1.4,11.0,9.0,13.0,26.0,9.5,6.5,10.0,21.0,13.0,10.0,13.0,29.0,29.0,21.0,29.0,41.0,201.0
IT4RJi7r,DENMARK 2,ROUND 11,2025-09-27,08:00,Koge,Hvidovre IF,3.5,2.38,2.75,1.3,3.4,2.5,1.5,6.0,1.13,2.85,3.7,2.1,1.03,15.0,1.2,4.33,1.67,2.15,2.63,1.44,5.0,1.17,1.57,2.25,1.67,1.29,1.4,15.0,10.0,12.0,21.0,12.0,7.5,9.0,17.0,17.0,11.0,13.0,21.0,34.0,21.0,26.0,41.0,151.0
pplZJgZg,ENGLAND 1,ROUND 6,2025-09-27,08:30,Brentford,Manchester Utd,3.75,2.38,2.6,1.3,3.4,2.38,1.53,6.0,1.13,3.4,3.8,2.0,1.04,13.0,1.2,4.5,1.67,2.2,2.63,1.5,5.0,1.17,1.57,2.25,1.8,1.25,1.3,15.0,11.0,12.0,21.0,15.0,8.0,9.5,17.0,21.0,13.0,15.0,23.0,41.0,26.0,29.0,41.0,151.0
vLWoEoAr,ENGLAND 2,ROUND 7,2025-09-27,08:30,Coventry,Birmingham,2.63,2.2,4.0,1.36,3.0,2.75,1.4,8.0,1.08,1.96,3.5,3.6,1.06,10.0,1.3,3.5,1.98,1.88,3.4,1.33,6.5,1.11,1.73,2.0,1.29,1.29,1.8,10.0,11.0,17.0,41.0,7.5,6.5,12.0,29.0,10.0,9.0,15.0,34.0,19.0,17.0,26.0,51.0,201.0
G2Pjvdjn,ENGLAND 2,ROUND 7,2025-09-27,08:30,Swansea,Millwall,2.88,2.0,4.0,1.5,2.5,3.4,1.3,10.0,1.06,2.15,3.1,3.5,1.08,8.0,1.44,2.75,2.3,1.62,4.33,1.22,9.0,1.07,2.0,1.73,1.29,1.36,1.67,7.5,8.5,17.0,41.0,6.5,6.0,13.0,34.0,9.5,9.5,17.0,41.0,21.0,21.0,34.0,67.0,401.0
CUIaxzLb,ENGLAND 2,ROUND 7,2025-09-27,08:30,Wrexham,Derby,2.88,2.0,4.33,1.5,2.5,3.4,1.3,10.0,1.06,2.05,3.3,3.5,1.08,8.0,1.44,2.75,2.38,1.57,4.5,1.2,10.0,1.06,2.0,1.73,1.29,1.33,1.7,8.0,8.5,17.0,41.0,6.0,6.5,13.0,34.0,9.0,9.5,19.0,41.0,19.0,19.0,34.0,67.0,501.0
QVPnRZE8,DENMARK 2,ROUND 11,2025-09-27,09:00,Hillerod,Horsens,3.2,2.2,3.25,1.4,2.75,2.75,1.4,8.0,1.08,2.45,3.3,2.57,1.06,10.0,1.3,3.4,1.98,1.83,3.4,1.3,7.0,1.1,1.73,2.0,1.44,1.33,1.5,10.0,9.0,13.0,26.0,8.5,6.5,10.0,21.0,13.0,10.0,15.0,29.0,26.0,21.0,29.0,51.0,201.0
rcu1faom,SPAIN 1,ROUND 7,2025-09-27,09:00,Getafe,Levante,2.75,2.0,4.75,1.53,2.38,3.5,1.29,11.0,1.05,2.05,3.1,4.1,1.1,7.0,1.5,2.63,2.5,1.53,4.5,1.2,11.0,1.05,2.1,1.67,1.22,1.36,1.73,7.0,9.0,19.0,41.0,6.0,6.0,15.0,41.0,8.5,9.5,19.0,51.0,17.0,19.0,34.0,67.0,501.0
pKY9JNe2,DENMARK 2,ROUND 11,2025-09-27,09:00,B.93,Middelfart,2.4,2.38,4.33,1.3,3.4,2.5,1.5,6.0,1.13,1.79,3.75,3.8,1.03,15.0,1.2,4.33,1.7,2.1,2.63,1.44,5.0,1.17,1.67,2.1,1.25,1.25,1.91,13.0,13.0,21.0,41.0,9.0,7.5,13.0,29.0,10.0,8.5,13.0,34.0,15.0,13.0,21.0,41.0,151.0
AyumqyY9,CZECH 1,ROUND 10,2025-09-27,10:00,Slovacko,Karvina,3.2,2.25,3.2,1.33,3.25,2.63,1.44,7.0,1.1,2.6,3.4,2.6,1.04,13.0,1.25,3.75,1.8,2.0,3.0,1.36,6.0,1.13,1.67,2.1,1.5,1.3,1.5,12.0,10.0,13.0,26.0,10.0,6.5,10.0,21.0,13.0,10.0,12.0,26.0,26.0,21.0,26.0,41.0,151.0
