League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
BULGARIA 1,2026-02-15,07:00:00,21,Lokomotiv Plovdiv,Cherno More,3.3,1.95,3.3,2.99,2.78,2.52,1.56,2.5,3.25,1.29,10.0,1.03,1.05,6.45,1.47,2.59,2.5,1.49,2.0,1.67,1.4,0,1.4,2.0,1.8,1.22,1.38,2.6,1.98,6.86,2.43,1.42,2.57,1.76,1.95,2.1,1.56,3.01,1.3,4.36,1.13
POLAND 2,2026-02-15,08:00:00,21,Stal Rzeszów,Polonia Bytom,2.94,2.4,3.12,2.5,3.4,2.49,1.27,3.25,2.29,1.52,4.9,1.14,1.04,13.3,1.15,4.3,1.6,2.19,1.49,2.42,1.23,0,1.44,1.8,1.44,1.97,1.28,3.25,1.89,6.6,2.41,1.08,5.08,1.24,3.28,1.61,2.41,1.81,1.9,2.25,1.59
PORTUGAL 2,2026-02-15,08:00:00,22,Sporting CP II,Portimonense,2.28,2.13,3.9,1.95,3.55,3.4,1.36,2.9,2.35,1.45,6.75,1.04,1.05,9.85,1.24,3.34,1.89,1.83,1.61,2.04,1.24,0,1.83,1.8,1.6,1.58,1.25,2.83,1.58,8.5,3.18,1.21,3.58,1.45,2.48,1.79,1.97,2.18,1.56,2.88,1.32
PORTUGAL 2,2026-02-15,08:00:00,22,FC Vizela,CS Marítimo,3.25,2.05,3.1,3.0,2.9,2.5,1.54,2.29,3.1,1.33,8.1,1.02,1.1,6.4,1.34,2.8,2.2,1.57,1.95,1.75,1.36,0,1.36,1.6,2.5,1.71,1.57,3.28,2.04,7.08,2.19,1.25,3.28,1.52,2.32,2.15,1.82,2.48,1.49,3.24,1.26
PORTUGAL 2,2026-02-15,08:00:00,22,Paços de Ferreira,Torreense,3.79,2.1,2.72,3.4,3.1,2.0,1.49,2.59,3.25,1.3,8.0,1.02,1.04,7.0,1.38,2.62,2.02,1.6,1.97,1.75,1.32,0,1.25,1.3,1.45,1.63,1.41,3.04,2.59,8.4,1.75,1.21,3.52,1.48,2.48,1.78,1.92,2.24,1.56,2.98,1.33
PORTUGAL 3,2026-02-15,08:00:00,0,Vitória Guimarães II,CF Os Belenenses,3.65,1.87,2.95,3.2,2.9,2.22,1.48,2.36,3.28,1.26,9.0,1.06,1.07,6.91,1.43,2.62,2.3,1.6,2.03,1.73,1.3,0,1.26,1.53,2.05,1.37,1.41,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NETHERLANDS 1,2026-02-15,08:15:00,23,Feyenoord,Go Ahead Eagles,1.75,2.7,6.0,1.42,5.0,6.82,1.2,3.88,2.0,1.69,4.5,1.16,1.02,18.5,1.15,5.35,1.4,2.57,1.67,2.16,1.12,0,2.85,2.0,0.73,2.13,1.25,3.38,1.28,11.2,5.1,1.16,4.4,1.24,3.34,1.51,2.44,1.86,1.93,2.24,1.53
POLAND 1,2026-02-15,08:15:00,21,Motor Lublin,Lechia Gdańsk,2.95,2.3,2.9,2.4,3.49,2.5,1.28,3.28,2.29,1.54,5.0,1.09,1.01,15.5,1.12,4.7,1.62,2.33,1.53,2.3,1.25,0,1.44,1.2,1.45,1.5,1.65,3.15,1.75,7.5,2.38,1.22,3.55,1.32,2.88,1.84,2.13,2.01,1.7,2.56,1.41
ITALY 3,2026-02-15,08:30:00,27,Vicenza,Alcione,1.88,2.12,9.35,1.31,4.2,10.0,1.41,2.56,2.97,1.32,7.8,1.02,1.01,8.7,1.34,3.05,1.98,1.72,2.05,1.47,1.15,0,2.88,2.54,1.54,1.65,1.31,2.96,1.12,11.5,6.75,1.31,2.92,1.61,2.18,2.07,1.67,2.62,1.38,3.58,1.21
ITALY 3,2026-02-15,08:30:00,27,Triestina,Novara,3.5,1.76,3.72,2.73,2.61,2.84,1.57,2.49,3.2,1.26,9.5,1.01,1.06,6.0,1.39,2.81,1.87,1.54,1.88,1.93,1.36,0,1.36,1.04,1.12,1.55,1.39,2.94,1.92,6.15,2.27,1.28,3.05,1.53,2.21,1.93,1.72,2.52,1.41,3.5,1.22
TURKEY 1,2026-02-15,08:30:00,22,Kocaelispor,Gaziantep FK,2.5,2.15,4.0,2.0,3.3,4.1,1.42,2.62,2.7,1.4,7.9,1.02,1.01,8.7,1.3,3.08,2.12,1.72,1.76,1.87,1.34,0,1.9,1.64,1.3,1.31,1.19,2.5,1.44,9.0,2.9,1.47,2.45,1.7,2.01,2.5,1.58,2.88,1.32,4.1,1.16
ITALY 1,2026-02-15,08:30:00,25,Udinese,Sassuolo,3.0,2.05,4.2,2.4,3.1,3.1,1.57,2.38,3.35,1.33,8.8,1.03,1.08,6.55,1.4,3.05,2.35,1.7,1.85,1.85,1.36,0,1.53,1.33,1.25,1.41,1.23,2.64,1.72,7.5,2.6,1.38,2.85,1.64,2.13,2.04,1.66,2.7,1.42,3.6,1.24
CROATIA 2,2026-02-15,08:45:00,18,Orijent 1919,Cibalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.38,1.38,1.44,1.34,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZECH 1,2026-02-15,09:00:00,22,Pardubice,Jablonec,3.1,2.15,2.8,2.43,3.15,2.63,1.38,2.93,2.91,1.38,6.65,1.05,1.05,8.3,1.26,3.3,1.95,1.83,1.7,2.05,1.33,0,1.4,1.18,1.9,1.39,1.2,2.59,2.05,6.75,1.82,1.25,3.5,1.52,2.46,1.75,1.88,2.28,1.54,3.04,1.3
SERBIA 2,2026-02-15,09:00:00,23,Voždovac,Mačva Šabac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1.45,1.58,1.09,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERBIA 2,2026-02-15,09:00:00,23,Dubočica,OFK Vršac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.18,1.0,0.99,1.15,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOSNIA 1,2026-02-15,09:00:00,21,Široki Brijeg,Velež,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.4,1.4,1.36,1.13,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROMANIA 1,2026-02-15,09:00:00,27,UTA Arad,Botoşani,3.3,2.0,3.1,2.6,3.0,2.5,1.49,2.52,3.4,1.27,9.0,1.06,1.03,6.5,1.44,2.75,2.3,1.56,1.95,1.75,1.44,0,1.44,1.46,1.23,1.63,1.36,2.99,2.06,7.0,1.92,1.34,2.85,1.58,2.14,1.98,1.7,2.55,1.43,3.58,1.26
SERBIA 2,2026-02-15,09:00:00,23,FAP,Stepojevac Vaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.45,0.36,1.48,1.07,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLOVENIA 1,2026-02-15,09:00:00,22,Domžale,Olimpija,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.89,1.5,1.19,1.72,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GERMANY 3,2026-02-15,09:30:00,24,Energie Cottbus,Waldhof Mannheim,2.25,2.4,4.0,1.8,3.5,3.35,1.27,3.25,2.31,1.51,5.3,1.09,1.04,13.0,1.14,4.33,1.61,2.25,1.58,2.3,1.25,0,1.91,2.25,1.36,1.8,1.55,3.35,1.76,8.4,2.66,1.14,4.22,1.34,2.86,1.79,2.14,2.0,1.78,2.5,1.42
BELGIUM 1,2026-02-15,09:30:00,25,Cercle Brugge,Club Brugge,4.0,2.29,2.34,3.9,3.85,1.9,1.23,3.3,2.3,1.55,5.0,1.11,1.01,13.0,1.2,4.5,1.61,2.25,1.57,2.25,1.25,0,1.25,0.58,1.58,1.55,1.72,3.27,2.43,7.5,1.74,1.19,3.75,1.45,2.55,1.78,2.04,2.21,1.58,2.83,1.38
GERMANY 2,2026-02-15,09:30:00,22,Magdeburg,Arminia Bielefeld,2.5,2.38,3.4,2.15,3.6,3.16,1.29,3.28,2.25,1.54,5.15,1.1,1.03,15.0,1.18,4.6,1.6,2.3,1.5,2.47,1.33,0,1.68,0.7,0.7,1.75,1.46,3.21,1.8,8.5,2.2,1.13,4.22,1.33,3.05,1.55,2.29,1.91,1.84,2.37,1.52
GERMANY 2,2026-02-15,09:30:00,22,Bochum,Paderborn,3.13,2.15,2.9,2.55,3.25,2.55,1.31,3.15,2.41,1.5,5.35,1.09,1.03,14.6,1.17,4.0,1.7,2.1,1.5,2.4,1.29,0,1.44,1.7,1.7,1.81,1.59,3.4,2.08,8.5,1.97,1.17,4.35,1.42,2.67,1.69,2.04,1.81,1.65,2.7,1.38
GERMANY 2,2026-02-15,09:30:00,22,Holstein Kiel,Schalke 04,3.1,2.18,3.0,2.84,3.26,2.6,1.36,2.89,2.62,1.42,6.1,1.03,1.06,8.4,1.29,3.05,2.0,1.75,1.81,2.01,1.33,0,1.44,1.4,1.55,1.42,1.32,2.74,2.33,8.3,1.82,1.24,3.31,1.48,2.46,1.82,1.97,2.1,1.56,2.95,1.4
BULGARIA 1,2026-02-15,09:30:00,21,Ludogorets,Beroe,1.44,2.96,10.0,1.09,8.0,13.0,1.2,3.95,2.11,1.67,3.95,1.18,1.02,19.0,1.13,5.5,1.44,2.8,2.3,1.53,1.08,0,5.5,2.0,0.7,2.55,1.17,3.72,1.02,13.0,10.0,1.21,3.9,1.38,2.7,1.87,2.09,2.1,1.66,2.69,1.38
HUNGARY 2,2026-02-15,10:00:00,18,Tiszakécske,Soroksár SC,2.38,2.16,4.33,1.85,3.6,3.5,1.32,2.92,2.67,1.38,6.2,1.09,1.01,9.0,1.25,3.5,1.85,1.87,1.7,1.99,1.21,0,1.78,1.38,0.63,1.62,1.32,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWITZERLAND 1,2026-02-15,10:00:00,25,Thun,Sion,2.32,2.5,4.0,1.8,3.6,3.92,1.28,3.4,2.3,1.55,5.0,1.11,1.04,10.0,1.15,4.3,1.62,2.27,1.56,2.39,1.23,0,1.96,2.08,1.36,2.06,1.48,3.54,1.62,8.8,3.1,1.18,3.9,1.41,2.63,1.89,2.05,2.08,1.62,2.7,1.36
TURKEY 2,2026-02-15,10:00:00,25,Amed,Sakaryaspor,1.57,2.72,9.45,1.19,6.2,10.43,1.22,3.5,2.15,1.62,4.65,1.12,1.01,16.0,1.12,5.35,1.41,2.6,1.93,1.76,1.07,0,3.95,2.67,0.75,1.8,1.09,2.89,1.08,13.7,8.1,1.36,2.74,1.65,2.05,2.51,1.64,2.8,1.35,3.96,1.16
SPAIN 2,2026-02-15,10:00:00,26,Mirandés,UD Las Palmas,3.92,2.0,3.04,3.15,2.99,2.25,1.51,2.39,3.1,1.28,10.0,1.02,1.05,7.0,1.44,2.57,2.4,1.53,2.0,1.75,1.37,0,1.36,0.92,1.5,1.4,1.16,2.56,2.35,7.0,1.81,1.5,2.45,1.8,1.91,2.31,1.52,3.05,1.3,4.55,1.13
