Id,Date,Time,League,Round,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT
zV6OCUTi,2025-12-24,02:30,INDIA SANTOSH TROPHY,-,Lakshadweep,Services,13.0,4.5,1.22,1.06,7.5,1.5,2.4,2.6,1.44,26.0,13.0,1.04,0.0,0.0,1.01,13.0,1.11,5.5,1.36,2.88,1.85,1.85,1.85,1.85,10.0,1.03,1.01
O0Q4jQtR,2025-12-24,06:00,MYANMAR 1,Round 9,Yangon Utd,Ayeyawady,1.4,3.1,11.0,0.0,0.0,1.73,1.69,0.0,0.0,1.1,7.5,15.0,0.0,0.0,0.0,0.0,1.28,3.1,1.75,1.9,2.65,1.38,2.12,1.65,1.01,1.04,4.0
Ime4hnCE,2025-12-24,06:30,MYANMAR 1,Round 9,Thitsar Arman,Shan Utd,10.8,3.23,1.38,0.0,0.0,1.72,1.7,0.0,0.0,15.0,7.7,1.09,0.0,0.0,0.0,0.0,0.0,0.0,1.71,1.88,0.0,0.0,15.0,7.7,15.0,7.7,1.09
8OExkRyo,2025-12-24,06:30,INDIA SANTOSH TROPHY,-,Goa FT,Karnataka,13.0,3.4,1.33,1.17,4.5,1.95,1.75,4.5,1.17,21.0,8.5,1.07,0.0,0.0,1.08,6.5,1.36,2.88,2.0,1.73,0.0,0.0,2.55,1.45,7.0,1.06,1.01
WtOvYpkL,2025-12-24,07:00,TURKEY CUP,Round 1,Igdir FK,Aliaga,1.82,2.26,5.4,1.26,3.0,2.23,1.45,4.8,1.1,1.48,4.0,5.75,1.02,11.0,1.19,3.55,1.7,2.1,2.55,1.38,4.2,1.13,1.8,1.84,1.1,1.16,2.24
KjlgNlVq,2025-12-24,07:00,ETHIOPIA 1,Round 11,Negele Arsi Ketema,Welwalo Adigrat,3.05,1.75,4.4,1.65,1.91,3.58,1.19,0.0,0.0,2.2,2.65,3.6,1.11,5.0,1.6,2.05,2.83,1.33,5.46,1.1,0.0,0.0,2.37,1.52,1.24,1.39,1.53
no08RKIN,2025-12-24,08:00,THAILAND 1,Round 10,Ratchaburi,Chiangrai Utd,1.91,2.3,5.5,1.3,3.2,2.63,1.44,6.0,1.11,1.44,4.2,5.5,1.03,13.0,1.22,4.2,1.75,2.05,2.88,1.4,5.5,1.14,1.8,1.91,1.08,1.17,2.5
2RyKXAcm,2025-12-24,08:00,THAILAND 1,Round 8,Sukhothai,Buriram,6.0,2.5,1.83,1.25,3.5,2.25,1.57,5.5,1.13,7.0,4.6,1.33,1.01,15.0,1.17,5.0,1.57,2.38,2.55,1.5,4.5,1.2,1.73,2.0,2.88,1.14,1.06
tvtDCbHO,2025-12-24,09:00,ETHIOPIA 1,Round 11,Arba Menche,Mekelle 70 Enderta,3.4,1.9,3.5,1.53,2.18,0.0,0.0,0.0,0.0,2.63,2.7,2.75,1.11,5.3,1.56,2.25,2.75,1.38,5.4,1.11,0.0,0.0,2.1,1.57,1.32,1.33,1.35
xUcVeroT,2025-12-24,09:00,THAILAND 1,Round 13,Pathum United,Kanchanaburi,1.93,2.42,5.6,1.29,3.25,2.38,1.53,5.5,1.13,1.45,4.45,6.0,1.01,15.0,1.2,4.5,1.62,2.25,2.63,1.47,5.0,1.17,1.73,2.0,1.08,1.17,2.75
dnCqoBQE,2025-12-24,09:10,SAUDI ARABIA 2,Round 13,Al Anwar,Al Batin,3.0,2.0,3.6,1.4,2.75,3.0,1.33,8.0,1.06,2.3,3.1,2.9,1.06,8.5,1.36,3.1,2.15,1.67,4.1,1.22,8.0,1.07,1.8,1.91,1.33,1.3,1.53
QoWoLIp2,2025-12-24,09:15,MALAYSIA 1,Round 13,Kuala Lumpur City,Kuching City FC,2.88,2.3,3.1,1.29,3.25,2.5,1.5,6.0,1.11,2.3,3.6,2.63,1.01,15.0,1.2,4.5,1.65,2.2,2.7,1.44,5.0,1.17,1.53,2.38,1.4,1.22,1.53
I10hqkeR,2025-12-24,09:20,SAUDI ARABIA 2,Round 13,Al Bukiryah,Al Arabi,2.4,2.0,4.5,1.4,2.75,3.2,1.3,8.5,1.05,1.8,3.3,4.2,1.06,8.5,1.4,2.88,2.2,1.65,4.33,1.2,8.5,1.06,2.0,1.73,1.17,1.25,1.83
